	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Total number correct	Total number incorrect	Youden Index
utahontario1_KEGG_ACUTE_MYELOID_LEUKEMIA_weka_svm_weights_r_svm_rbf	0.5953177257525084	0.6111111111111112	0.36111111111111116	-0.02777777777777768	25	0.38888888888888884	9.0	4.0	5.0	27.0	18.0	9.0	13.0	4.0	9.0	23.0	18.0	5.0	0.25	0.4444444444444444	0.5555555555555556	0.75	0.6666666666666666	0.3333333333333333	0.3611111111111111	0.3076923076923077	0.6923076923076923	0.6388888888888888	0.782608695652174	0.21739130434782608	22	14	0.09030100334448177
utahontario1_KEGG_ACUTE_MYELOID_LEUKEMIA_weka_svm_weights_r_svm_rbf_Training_Data	0.6536953242835596	0.6935483870967742	0.3145161290322581	0.008064516129032362	25	0.30645161290322576	13.0	7.0	6.0	111.0	79.0	32.0	39.0	7.0	32.0	85.0	79.0	6.0	0.10483870967741936	0.5384615384615384	0.46153846153846156	0.8951612903225806	0.7117117117117117	0.2882882882882883	0.31451612903225806	0.1794871794871795	0.8205128205128205	0.6854838709677419	0.9294117647058824	0.07058823529411765	86	38	0.1088989441930619
utahontario1_KEGG_ADHERENS_JUNCTION_weka_svm_weights_r_svm_rbf	0.5585284280936454	0.6944444444444444	0.36111111111111116	0.05555555555555558	50	0.3055555555555556	4.0	3.0	1.0	32.0	22.0	10.0	13.0	3.0	10.0	23.0	22.0	1.0	0.1111111111111111	0.75	0.25	0.8888888888888888	0.6875	0.3125	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.9565217391304348	0.043478260869565216	25	11	0.18729096989966565
utahontario1_KEGG_ADHERENS_JUNCTION_weka_svm_weights_r_svm_rbf_Training_Data	0.6419306184012067	0.7016129032258065	0.3145161290322581	0.016129032258064613	25	0.2983870967741935	12.0	7.0	5.0	112.0	80.0	32.0	39.0	7.0	32.0	85.0	80.0	5.0	0.0967741935483871	0.5833333333333334	0.4166666666666667	0.9032258064516129	0.7142857142857143	0.2857142857142857	0.31451612903225806	0.1794871794871795	0.8205128205128205	0.6854838709677419	0.9411764705882353	0.058823529411764705	87	37	0.1206636500754148
utahontario1_KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.6454849498327759	0.6666666666666666	0.36111111111111116	0.02777777777777779	25	0.33333333333333337	1.0	1.0	0.0	35.0	23.0	12.0	13.0	1.0	12.0	23.0	23.0	0.0	0.027777777777777776	1.0	0.0	0.9722222222222222	0.6571428571428571	0.34285714285714286	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	1.0	0.0	24	12	0.07692307692307687
utahontario1_KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6380090497737556	0.6774193548387096	0.3145161290322581	-0.008064516129032251	25	0.32258064516129037	19.0	9.0	10.0	105.0	75.0	30.0	39.0	9.0	30.0	85.0	75.0	10.0	0.1532258064516129	0.47368421052631576	0.5263157894736842	0.8467741935483871	0.7142857142857143	0.2857142857142857	0.31451612903225806	0.23076923076923078	0.7692307692307693	0.6854838709677419	0.8823529411764706	0.11764705882352941	84	40	0.1131221719457014
utahontario1_KEGG_AFRICAN_TRYPANOSOMIASIS_weka_svm_weights_r_svm_rbf	0.6989966555183946	0.6666666666666666	0.36111111111111116	0.02777777777777779	25	0.33333333333333337	1.0	1.0	0.0	35.0	23.0	12.0	13.0	1.0	12.0	23.0	23.0	0.0	0.027777777777777776	1.0	0.0	0.9722222222222222	0.6571428571428571	0.34285714285714286	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	1.0	0.0	24	12	0.07692307692307687
utahontario1_KEGG_AFRICAN_TRYPANOSOMIASIS_weka_svm_weights_r_svm_rbf_Training_Data	0.49110105580693814	0.6612903225806451	0.3145161290322581	-0.024193548387096753	25	0.33870967741935487	3.0	0.0	3.0	121.0	82.0	39.0	39.0	0.0	39.0	85.0	82.0	3.0	0.024193548387096774	0.0	1.0	0.9758064516129032	0.6776859504132231	0.32231404958677684	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9647058823529412	0.03529411764705882	82	42	-0.03529411764705881
utahontario1_KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM_weka_svm_weights_r_svm_rbf	0.5819397993311036	0.6666666666666666	0.36111111111111116	0.02777777777777779	25	0.33333333333333337	3.0	2.0	1.0	33.0	22.0	11.0	13.0	2.0	11.0	23.0	22.0	1.0	0.08333333333333333	0.6666666666666666	0.3333333333333333	0.9166666666666666	0.6666666666666666	0.3333333333333333	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	0.9565217391304348	0.043478260869565216	24	12	0.11036789297658878
utahontario1_KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM_weka_svm_weights_r_svm_rbf_Training_Data	0.5254901960784315	0.6774193548387096	0.3145161290322581	-0.008064516129032251	25	0.32258064516129037	1.0	0.0	1.0	123.0	84.0	39.0	39.0	0.0	39.0	85.0	84.0	1.0	0.008064516129032258	0.0	1.0	0.9919354838709677	0.6829268292682927	0.3170731707317073	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9882352941176471	0.011764705882352941	84	40	-0.0117647058823529
utahontario1_KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION_weka_svm_weights_r_svm_rbf	0.6387959866220736	0.6666666666666666	0.36111111111111116	0.02777777777777779	25	0.33333333333333337	1.0	1.0	0.0	35.0	23.0	12.0	13.0	1.0	12.0	23.0	23.0	0.0	0.027777777777777776	1.0	0.0	0.9722222222222222	0.6571428571428571	0.34285714285714286	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	1.0	0.0	24	12	0.07692307692307687
utahontario1_KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION_weka_svm_weights_r_svm_rbf_Training_Data	0.6202111613876321	0.6532258064516129	0.3145161290322581	-0.032258064516129004	25	0.3467741935483871	14.0	5.0	9.0	110.0	76.0	34.0	39.0	5.0	34.0	85.0	76.0	9.0	0.11290322580645161	0.35714285714285715	0.6428571428571429	0.8870967741935484	0.6909090909090909	0.3090909090909091	0.31451612903225806	0.1282051282051282	0.8717948717948718	0.6854838709677419	0.8941176470588236	0.10588235294117647	81	43	0.022322775263951655
utahontario1_KEGG_ALLOGRAFT_REJECTION_weka_svm_weights_r_svm_rbf	0.5785953177257525	0.6111111111111112	0.36111111111111116	-0.02777777777777768	25	0.38888888888888884	3.0	1.0	2.0	33.0	21.0	12.0	13.0	1.0	12.0	23.0	21.0	2.0	0.08333333333333333	0.3333333333333333	0.6666666666666666	0.9166666666666666	0.6363636363636364	0.36363636363636365	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	0.9130434782608695	0.08695652173913043	22	14	-0.010033444816053505
utahontario1_KEGG_ALLOGRAFT_REJECTION_weka_svm_weights_r_svm_rbf_Training_Data	0.5776772247360482	0.6774193548387096	0.3145161290322581	-0.008064516129032251	25	0.32258064516129037	9.0	4.0	5.0	115.0	80.0	35.0	39.0	4.0	35.0	85.0	80.0	5.0	0.07258064516129033	0.4444444444444444	0.5555555555555556	0.9274193548387096	0.6956521739130435	0.30434782608695654	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9411764705882353	0.058823529411764705	84	40	0.043740573152337925
utahontario1_KEGG_ALPHA_LINOLENIC_ACID_METABOLISM_weka_svm_weights_r_svm_rbf	0.49163879598662213	0.6388888888888888	0.36111111111111116	0.0	19	0.36111111111111116	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	23	13	0.0
utahontario1_KEGG_ALPHA_LINOLENIC_ACID_METABOLISM_weka_svm_weights_r_svm_rbf_Training_Data	0.47239819004524886	0.6854838709677419	0.3145161290322581	0.0	19	0.3145161290322581	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	85	39	0.0
utahontario1_KEGG_ALZHEIMERS_DISEASE_weka_svm_weights_r_svm_rbf	0.6789297658862876	0.6666666666666666	0.36111111111111116	0.02777777777777779	25	0.33333333333333337	9.0	5.0	4.0	27.0	19.0	8.0	13.0	5.0	8.0	23.0	19.0	4.0	0.25	0.5555555555555556	0.4444444444444444	0.75	0.7037037037037037	0.2962962962962963	0.3611111111111111	0.38461538461538464	0.6153846153846154	0.6388888888888888	0.8260869565217391	0.17391304347826086	24	12	0.21070234113712383
utahontario1_KEGG_ALZHEIMERS_DISEASE_weka_svm_weights_r_svm_rbf_Training_Data	0.689894419306184	0.7338709677419355	0.3145161290322581	0.048387096774193616	75	0.2661290322580645	16.0	11.0	5.0	108.0	80.0	28.0	39.0	11.0	28.0	85.0	80.0	5.0	0.12903225806451613	0.6875	0.3125	0.8709677419354839	0.7407407407407407	0.25925925925925924	0.31451612903225806	0.28205128205128205	0.717948717948718	0.6854838709677419	0.9411764705882353	0.058823529411764705	91	33	0.22322775263951744
utahontario1_KEGG_AMINOACYL_TRNA_BIOSYNTHESIS_weka_svm_weights_r_svm_rbf	0.4949832775919732	0.6388888888888888	0.36111111111111116	0.0	25	0.36111111111111116	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	23	13	0.0
utahontario1_KEGG_AMINOACYL_TRNA_BIOSYNTHESIS_weka_svm_weights_r_svm_rbf_Training_Data	0.5767722473604827	0.6451612903225806	0.3145161290322581	-0.040322580645161255	25	0.3548387096774194	7.0	1.0	6.0	117.0	79.0	38.0	39.0	1.0	38.0	85.0	79.0	6.0	0.056451612903225805	0.14285714285714285	0.8571428571428571	0.9435483870967742	0.6752136752136753	0.3247863247863248	0.31451612903225806	0.02564102564102564	0.9743589743589743	0.6854838709677419	0.9294117647058824	0.07058823529411765	80	44	-0.04494720965309196
utahontario1_KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM_weka_svm_weights_r_svm_rbf	0.6521739130434783	0.6666666666666666	0.36111111111111116	0.02777777777777779	25	0.33333333333333337	9.0	5.0	4.0	27.0	19.0	8.0	13.0	5.0	8.0	23.0	19.0	4.0	0.25	0.5555555555555556	0.4444444444444444	0.75	0.7037037037037037	0.2962962962962963	0.3611111111111111	0.38461538461538464	0.6153846153846154	0.6388888888888888	0.8260869565217391	0.17391304347826086	24	12	0.21070234113712383
utahontario1_KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM_weka_svm_weights_r_svm_rbf_Training_Data	0.6717948717948717	0.6854838709677419	0.3145161290322581	0.0	25	0.3145161290322581	12.0	6.0	6.0	112.0	79.0	33.0	39.0	6.0	33.0	85.0	79.0	6.0	0.0967741935483871	0.5	0.5	0.9032258064516129	0.7053571428571429	0.29464285714285715	0.31451612903225806	0.15384615384615385	0.8461538461538461	0.6854838709677419	0.9294117647058824	0.07058823529411765	85	39	0.08325791855203635
utahontario1_KEGG_AMOEBIASIS_weka_svm_weights_r_svm_rbf	0.5418060200668896	0.5833333333333334	0.36111111111111116	-0.05555555555555547	100	0.41666666666666663	6.0	2.0	4.0	30.0	19.0	11.0	13.0	2.0	11.0	23.0	19.0	4.0	0.16666666666666666	0.3333333333333333	0.6666666666666666	0.8333333333333334	0.6333333333333333	0.36666666666666664	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	0.8260869565217391	0.17391304347826086	21	15	-0.02006688963210701
utahontario1_KEGG_AMOEBIASIS_weka_svm_weights_r_svm_rbf_Training_Data	0.7363499245852188	0.7096774193548387	0.3145161290322581	0.024193548387096864	75	0.29032258064516125	19.0	11.0	8.0	105.0	77.0	28.0	39.0	11.0	28.0	85.0	77.0	8.0	0.1532258064516129	0.5789473684210527	0.42105263157894735	0.8467741935483871	0.7333333333333333	0.26666666666666666	0.31451612903225806	0.28205128205128205	0.717948717948718	0.6854838709677419	0.9058823529411765	0.09411764705882353	88	36	0.18793363499245852
utahontario1_KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS_weka_svm_weights_r_svm_rbf	0.5016722408026756	0.5277777777777778	0.36111111111111116	-0.11111111111111105	50	0.4722222222222222	12.0	4.0	8.0	24.0	15.0	9.0	13.0	4.0	9.0	23.0	15.0	8.0	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.625	0.375	0.3611111111111111	0.3076923076923077	0.6923076923076923	0.6388888888888888	0.6521739130434783	0.34782608695652173	19	17	-0.04013377926421402
utahontario1_KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS_weka_svm_weights_r_svm_rbf_Training_Data	0.7018099547511311	0.6935483870967742	0.3145161290322581	0.008064516129032362	25	0.30645161290322576	13.0	7.0	6.0	111.0	79.0	32.0	39.0	7.0	32.0	85.0	79.0	6.0	0.10483870967741936	0.5384615384615384	0.46153846153846156	0.8951612903225806	0.7117117117117117	0.2882882882882883	0.31451612903225806	0.1794871794871795	0.8205128205128205	0.6854838709677419	0.9294117647058824	0.07058823529411765	86	38	0.1088989441930619
utahontario1_KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION_weka_svm_weights_r_svm_rbf	0.45484949832775917	0.6666666666666666	0.36111111111111116	0.02777777777777779	50	0.33333333333333337	5.0	3.0	2.0	31.0	21.0	10.0	13.0	3.0	10.0	23.0	21.0	2.0	0.1388888888888889	0.6	0.4	0.8611111111111112	0.6774193548387096	0.3225806451612903	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.9130434782608695	0.08695652173913043	24	12	0.14381270903010024
utahontario1_KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION_weka_svm_weights_r_svm_rbf_Training_Data	0.6820512820512821	0.6854838709677419	0.3145161290322581	0.0	25	0.3145161290322581	18.0	9.0	9.0	106.0	76.0	30.0	39.0	9.0	30.0	85.0	76.0	9.0	0.14516129032258066	0.5	0.5	0.8548387096774194	0.7169811320754716	0.2830188679245283	0.31451612903225806	0.23076923076923078	0.7692307692307693	0.6854838709677419	0.8941176470588236	0.10588235294117647	85	39	0.1248868778280543
utahontario1_KEGG_APOPTOSIS_weka_svm_weights_r_svm_rbf	0.5618729096989966	0.6388888888888888	0.36111111111111116	0.0	50	0.36111111111111116	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	23	13	0.0
utahontario1_KEGG_APOPTOSIS_weka_svm_weights_r_svm_rbf_Training_Data	0.6558069381598793	0.7096774193548387	0.3145161290322581	0.024193548387096864	50	0.29032258064516125	15.0	9.0	6.0	109.0	79.0	30.0	39.0	9.0	30.0	85.0	79.0	6.0	0.12096774193548387	0.6	0.4	0.8790322580645161	0.7247706422018348	0.27522935779816515	0.31451612903225806	0.23076923076923078	0.7692307692307693	0.6854838709677419	0.9294117647058824	0.07058823529411765	88	36	0.16018099547511322
utahontario1_KEGG_ARACHIDONIC_ACID_METABOLISM_weka_svm_weights_r_svm_rbf	0.6454849498327759	0.6388888888888888	0.36111111111111116	0.0	25	0.36111111111111116	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	23	13	0.0
utahontario1_KEGG_ARACHIDONIC_ACID_METABOLISM_weka_svm_weights_r_svm_rbf_Training_Data	0.477526395173454	0.6532258064516129	0.3145161290322581	-0.032258064516129004	25	0.3467741935483871	6.0	1.0	5.0	118.0	80.0	38.0	39.0	1.0	38.0	85.0	80.0	5.0	0.04838709677419355	0.16666666666666666	0.8333333333333334	0.9516129032258065	0.6779661016949152	0.3220338983050847	0.31451612903225806	0.02564102564102564	0.9743589743589743	0.6854838709677419	0.9411764705882353	0.058823529411764705	81	43	-0.03318250377073906
utahontario1_KEGG_ARGININE_AND_PROLINE_METABOLISM_weka_svm_weights_r_svm_rbf	0.6137123745819398	0.6388888888888888	0.36111111111111116	0.0	25	0.36111111111111116	2.0	1.0	1.0	34.0	22.0	12.0	13.0	1.0	12.0	23.0	22.0	1.0	0.05555555555555555	0.5	0.5	0.9444444444444444	0.6470588235294118	0.35294117647058826	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	0.9565217391304348	0.043478260869565216	23	13	0.03344481605351168
utahontario1_KEGG_ARGININE_AND_PROLINE_METABOLISM_weka_svm_weights_r_svm_rbf_Training_Data	0.5809954751131222	0.6693548387096774	0.3145161290322581	-0.016129032258064502	25	0.3306451612903226	14.0	6.0	8.0	110.0	77.0	33.0	39.0	6.0	33.0	85.0	77.0	8.0	0.11290322580645161	0.42857142857142855	0.5714285714285714	0.8870967741935484	0.7	0.3	0.31451612903225806	0.15384615384615385	0.8461538461538461	0.6854838709677419	0.9058823529411765	0.09411764705882353	83	41	0.05972850678733033
utahontario1_KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC_weka_svm_weights_r_svm_rbf	0.6521739130434783	0.6111111111111112	0.36111111111111116	-0.02777777777777768	50	0.38888888888888884	9.0	4.0	5.0	27.0	18.0	9.0	13.0	4.0	9.0	23.0	18.0	5.0	0.25	0.4444444444444444	0.5555555555555556	0.75	0.6666666666666666	0.3333333333333333	0.3611111111111111	0.3076923076923077	0.6923076923076923	0.6388888888888888	0.782608695652174	0.21739130434782608	22	14	0.09030100334448177
utahontario1_KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC_weka_svm_weights_r_svm_rbf_Training_Data	0.6193061840120664	0.6612903225806451	0.3145161290322581	-0.024193548387096753	50	0.33870967741935487	21.0	9.0	12.0	103.0	73.0	30.0	39.0	9.0	30.0	85.0	73.0	12.0	0.1693548387096774	0.42857142857142855	0.5714285714285714	0.8306451612903226	0.7087378640776699	0.2912621359223301	0.31451612903225806	0.23076923076923078	0.7692307692307693	0.6854838709677419	0.8588235294117647	0.1411764705882353	82	42	0.08959276018099538
utahontario1_KEGG_ASCORBATE_AND_ALDARATE_METABOLISM_weka_svm_weights_r_svm_rbf	0.45484949832775917	0.6388888888888888	0.36111111111111116	0.0	15	0.36111111111111116	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	23	13	0.0
utahontario1_KEGG_ASCORBATE_AND_ALDARATE_METABOLISM_weka_svm_weights_r_svm_rbf_Training_Data	0.48205128205128206	0.6854838709677419	0.3145161290322581	0.0	15	0.3145161290322581	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	85	39	0.0
utahontario1_KEGG_ASTHMA_weka_svm_weights_r_svm_rbf	0.5518394648829431	0.6388888888888888	0.36111111111111116	0.0	24	0.36111111111111116	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	23	13	0.0
utahontario1_KEGG_ASTHMA_weka_svm_weights_r_svm_rbf_Training_Data	0.6383107088989443	0.6854838709677419	0.3145161290322581	0.0	24	0.3145161290322581	8.0	4.0	4.0	116.0	81.0	35.0	39.0	4.0	35.0	85.0	81.0	4.0	0.06451612903225806	0.5	0.5	0.9354838709677419	0.6982758620689655	0.3017241379310345	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9529411764705882	0.047058823529411764	85	39	0.055505279034690824
utahontario1_KEGG_AUTOIMMUNE_THYROID_DISEASE_weka_svm_weights_r_svm_rbf	0.5518394648829431	0.6111111111111112	0.36111111111111116	-0.02777777777777768	25	0.38888888888888884	1.0	0.0	1.0	35.0	22.0	13.0	13.0	0.0	13.0	23.0	22.0	1.0	0.027777777777777776	0.0	1.0	0.9722222222222222	0.6285714285714286	0.37142857142857144	0.3611111111111111	0.0	1.0	0.6388888888888888	0.9565217391304348	0.043478260869565216	22	14	-0.04347826086956519
