Row.names	PathwayMutatedGenes	UtahControl_NumNonMuts	UtahControl_NumMuts	UtahCancer_NumNonMuts	UtahCancer_NumMuts	UtahControl_MutationRate	UtahCancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
KEGG_DILATED_CARDIOMYOPATHY	ADCY5(1),CACNB3(1),ITGA7(1),SGCA(1),TGFB2(1),TNNT2(1);ADCY5(1),CACNB3(1),ITGA3(1),ITGA4(2),ITGA7(1),MYL2(1),SGCA(1),TGFB2(1)	13	3	10	9	0.1875	0.473684210526	3.74783373622505	0.0767890248424174	1.77689572277356	0.0524138015180882
KEGG_INSULIN_SIGNALING_PATHWAY	PIK3R5(1),PRKAG3(1),RPTOR(1);ARAF(1),CALML5(1),MTOR(1),PIK3CA(2),PIK3R5(1),PRKCZ(1),RPTOR(2),SHC2(1),SLC2A4(1)	13	3	10	9	0.1875	0.473684210526	3.74783373622505	0.0767890248424174	1.77689572277356	0.0524138015180882
KEGG_PANCREATIC_CANCER	CASP9(1),PIK3R5(1),TGFB2(1),TGFBR1(2);ARAF(1),ERBB2(1),NFKB1(1),PIK3CA(2),PIK3R5(1),TGFB2(1),TGFBR1(3),TGFBR2(1)	13	3	10	9	0.1875	0.473684210526	3.74783373622505	0.0767890248424174	1.77689572277356	0.0524138015180882
BIOCARTA_FCER1_PATHWAY	;PIK3CA(2),SYK(1)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
BIOCARTA_IGF1MTOR_PATHWAY	;IGF1R(1),MTOR(1),PIK3CA(2)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	;ALDH3A2(1),UGT1A3(2)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	;MTOR(1),PIK3CA(2)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
REACTOME_CHOLESTEROL_BIOSYNTHESIS	;EBP(1),MVD(2)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
REACTOME_DOWNSTREAM_TCR_SIGNALING	;NFKB1(1),PIK3CA(2)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
REACTOME_G2_M_TRANSITION	;CDC25A(1),DCTN3(1),TSGA14(1)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
REACTOME_HUMAN_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	;NFKB1(1),NFKB2(1),TLR3(1)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	CLP1(1),ERCC3(1),GTF2E2(1),PABPN1(1);CCNT1(2),CLP1(2),GTF2E2(2),PABPN1(1),SUPT4H1(1),TAF1(1),TAF11(1)	12	4	9	10	0.25	0.526315789474	3.21651430978823	0.0935129209588753	1.66227491551092	0.0584014564040313
REACTOME_TAT_MEDIATED_HIV1_ELONGATION_ARREST_AND_RECOVERY	;CCNT1(2),SUPT4H1(1)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
REACTOME_TCR_SIGNALING	;NFKB1(1),PIK3CA(2)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	;PIK3CA(2),SLC2A4(1)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
ST_MYOCYTE_AD_PATHWAY	;CAV3(1),ITPR1(1),ITPR2(1),RHO(1)	16	0	16	3	0	0.157894736842	NA	0.148051948051948	1.66227491551092	0.0584014564040313
BIOCARTA_IL2RB_PATHWAY	IL2RA(1),STAT5A(1);IL2RA(1),NMI(2),PIK3CA(2),PTPN6(1),SYK(1)	14	2	12	7	0.125	0.368421052632	3.92624691485069	0.104071864361075	1.64142491557984	0.0594865497958512
KEGG_ACUTE_MYELOID_LEUKEMIA	PIK3R5(1),STAT5A(1);ARAF(1),MTOR(1),NFKB1(1),PIK3CA(2),PIK3R5(1),ZBTB16(1)	14	2	12	7	0.125	0.368421052632	3.92624691485069	0.104071864361075	1.64142491557984	0.0594865497958512
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	HARS(1),KARS(1),NARS(1),NARS2(1);IARS2(1),NARS2(2),PARS2(2),QARS(2),TARS2(1),YARS2(1)	14	2	12	7	0.125	0.368421052632	3.92624691485069	0.104071864361075	1.64142491557984	0.0594865497958512
KEGG_DNA_REPLICATION	POLA2(1),POLE2(1);DNA2(1),POLA2(1),POLE2(1),RPA1(1),RPA4(3)	14	2	12	7	0.125	0.368421052632	3.92624691485069	0.104071864361075	1.64142491557984	0.0594865497958512
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	KARS(1),NARS2(1);IARS2(1),NARS2(2),PARS2(2),QARS(2),TARS2(1),YARS2(1)	14	2	12	7	0.125	0.368421052632	3.92624691485069	0.104071864361075	1.64142491557984	0.0594865497958512
REACTOME_PLATELET_ACTIVATION_TRIGGERS	GNAI2(1),PIK3R5(1);COL1A1(1),COL1A2(1),F2R(1),PIK3CA(2),PIK3R5(1),PRKCZ(1),SYK(1)	14	2	12	7	0.125	0.368421052632	3.92624691485069	0.104071864361075	1.64142491557984	0.0594865497958512
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	ERCC3(1),GTF2E2(1);CCNT1(2),GTF2E2(2),SUPT4H1(1),TAF1(1),TAF11(1)	14	2	12	7	0.125	0.368421052632	3.92624691485069	0.104071864361075	1.64142491557984	0.0594865497958512
REACTOME_TRNA_AMINOACYLATION	HARS(1),KARS(1),NARS(1),NARS2(1);IARS2(1),NARS2(2),PARS2(2),QARS(2),TARS2(1),YARS2(1)	14	2	12	7	0.125	0.368421052632	3.92624691485069	0.104071864361075	1.64142491557984	0.0594865497958512
BIOCARTA_ACH_PATHWAY	PTK2B(1);MUSK(1),PIK3CA(2),PTK2B(1),RAPSN(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
BIOCARTA_AGR_PATHWAY	SP1(1);GIT2(1),MUSK(1),NRG2(1),NRG3(1),RAPSN(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
BIOCARTA_ATM_PATHWAY	MDM2(1);MDM2(3),NFKB1(1),RBBP8(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
BIOCARTA_NKCELLS_PATHWAY	PTK2B(1);PIK3CA(2),PTK2B(1),PTPN6(1),SYK(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
BIOCARTA_NKT_PATHWAY	TGFB2(1);CCR5(1),CXCR3(1),IL18R1(1),IL5(1),TGFB2(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
BIOCARTA_P53HYPOXIA_PATHWAY	MDM2(1);MDM2(3),RPA1(1),TAF1(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
BIOCARTA_PAR1_PATHWAY	PTK2B(1);ARHGEF12(1),F2R(1),PIK3CA(2),PTK2B(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
REACTOME_COMMON_PATHWAY	PROC(1);FGB(2),PF4V1(1),PROC(1),SERPINC1(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
REACTOME_FORMATION_AND_MATURATION_OF_MRNA_TRANSCRIPT	CLP1(1),DHX9(1),ERCC3(1),GTF2E2(1),HNRNPA2B1(1),PABPN1(1);CCNT1(2),CLP1(2),GTF2E2(2),HNRNPR(1),PABPN1(1),SUPT4H1(1),TAF1(1),TAF11(1)	11	5	8	11	0.3125	0.578947368421	2.92694376353471	0.108006964259806	1.57632388957588	0.0878934421477746
REACTOME_FORMATION_OF_A_POOL_OF_FREE_40S_SUBUNITS	RPS3(1);EIF3A(1),RPL35A(1),RPL7(2),RPS16(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
REACTOME_GTP_HYDROLYSIS_AND_JOINING_OF_THE_60S_RIBOSOMAL_SUBUNIT	RPS3(1);EIF3A(1),RPL35A(1),RPL7(2),RPS16(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	CD96(1);CD96(1),ICAM3(1),ITGA4(2),ULBP3(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
REACTOME_SEMAPHORIN_INTERACTIONS	ROCK2(1),TLN1(1),TREM2(1);ARHGEF12(1),ERBB2(1),FES(1),RRAS(1),SEMA4D(1),SEMA5A(1),TLN1(1),TREM2(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL	PIGG(1);PIGF(1),PIGG(1),PIGL(1),PIGM(1),PIGW(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
REACTOME_TOLL_LIKE_RECEPTOR_3_CASCADE	DUSP7(1);IRF3(1),NFKB1(1),NFKB2(1),RIPK3(1),TLR3(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
REACTOME_TRANSLATION	RPS3(1);EIF3A(1),RPL35A(1),RPL7(2),RPS16(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
SIG_BCR_SIGNALING_PATHWAY	CD22(1);BLNK(1),ITPR1(1),ITPR2(1),PIK3CA(2),SYK(1)	15	1	14	5	0.0625	0.263157894737	5.13201749629862	0.131336405529954	1.56910657144341	0.0878934421477746
REACTOME_HEMOSTASIS	ADRA2C(1),CD47(1),DGKD(1),GNAI2(1),GP1BA(1),HGF(1),KLKB1(1),MERTK(1),PDGFB(1),PIK3R5(1),PLAUR(1),PROC(1),RAPGEF4(1),SLC16A8(1),TGFB2(1),TLN1(1);ADRA2C(5),COL1A1(1),COL1A2(1),F2R(1),FGB(2),ITGA3(1),ITGA4(2),ITPR1(1),ITPR2(1),KLKB1(1),L1CAM(1),LAMP2(1),PF4V1(1),PIK3CA(2),PIK3R5(1),PRKCZ(1),PROC(1),PTPN6(1),SERPINB2(1),SERPINC1(1),SERPINF2(1),SIRPA(1),SLC7A6(1),SPARC(1),SYK(1),TGFB2(1),TLN1(1),YES1(1)	5	11	2	17	0.6875	0.894736842105	3.71388357021631	0.135402973000303	1.52689700821117	0.0901649532008874
BIOCARTA_TGFB_PATHWAY	SMAD7(1),TGFB2(1),TGFBR1(2);SMAD7(3),TGFB2(1),TGFBR1(3),TGFBR2(1)	13	3	11	8	0.1875	0.421052631579	3.04934804957965	0.131738969225065	1.48270112013269	0.0901649534073515
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	CACNB3(1),ITGA7(1),PRKAG3(1),SGCA(1),TGFB2(1),TNNT2(1);CACNB3(1),ITGA3(1),ITGA4(2),ITGA7(1),MYL2(1),SGCA(1),TGFB2(1)	13	3	11	8	0.1875	0.421052631579	3.04934804957965	0.131738969225065	1.48270112013269	0.0901649534073515
KEGG_PROSTATE_CANCER	CASP9(1),FGFR2(1),MDM2(1),PDGFB(1),PDGFRA(1),PIK3R5(1);ARAF(1),CCNE1(1),CREB3L4(1),ERBB2(1),FGFR2(1),IGF1R(1),MDM2(3),MTOR(1),NFKB1(1),PDGFRA(1),PIK3CA(2),PIK3R5(1)	10	6	7	12	0.375	0.631578947368	2.76879334628368	0.120212474407957	1.51297279794004	0.0901649534073515
KEGG_SMALL_CELL_LUNG_CANCER	CASP9(1),PIK3R5(1),TRAF2(1);CCNE1(1),ITGA3(1),NFKB1(1),PIK3CA(2),PIK3R5(1),TRAF2(3)	13	3	11	8	0.1875	0.421052631579	3.04934804957965	0.131738969225065	1.48270112013269	0.0901649534073515
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	NKX6-1(1),ONECUT3(2),PTF1A(1),RPS3(1);HNF1A(1),ONECUT3(1),PDX1(2),PTF1A(1),RPL35A(1),RPL7(2),RPS16(1)	13	3	11	8	0.1875	0.421052631579	3.04934804957965	0.131738969225065	1.48270112013269	0.0901649534073515
KEGG_OSTEOCLAST_DIFFERENTIATION	GAB2(1),LILRA6(1),MAPK13(1),NCF2(2),PIK3R5(1),TGFB2(1),TGFBR1(2),TRAF2(1),TREM2(1);BLNK(1),IFNAR1(1),LILRA3(1),NCF2(2),NFKB1(1),NFKB2(1),PIK3CA(2),PIK3R5(1),SIRPA(1),SYK(1),TGFB2(1),TGFBR1(3),TGFBR2(1),TRAF2(3),TREM2(1)	8	8	5	14	0.5	0.736842105263	2.7150232262615	0.137187857684061	1.44459700536625	0.091852837816429
KEGG_INOSITOL_PHOSPHATE_METABOLISM	INPP4A(1),PI4K2A(2),PIP5KL1(1);ALDH6A1(2),INPP5A(3),INPP5E(1),IPPK(1),PI4K2B(1),PIK3CA(2)	12	4	10	9	0.25	0.473684210526	2.62314098245121	0.155630249391433	1.36434161617924	0.104119802308224
KEGG_PANCREATIC_SECRETION	ADCY5(1),CCKAR(1),CEL(2),CELA2A(1),PLA2G12B(1),PNLIPRP2(1);ADCY5(1),ATP2B1(1),CELA2B(2),CLCA1(1),ITPR1(1),ITPR2(1),KCNMA1(1),PLA2G2D(1),PLA2G6(1),PNLIP(1)	12	4	10	9	0.25	0.473684210526	2.62314098245121	0.155630249391433	1.36434161617924	0.104119802308224
KEGG_PROPANOATE_METABOLISM	HADHA(3),LDHA(1),MLYCD(1);ALDH3A2(1),ALDH6A1(2),HADHA(3),MUT(1),SUCLG1(1),SUCLG2(1)	12	4	10	9	0.25	0.473684210526	2.62314098245121	0.155630249391433	1.36434161617924	0.104119802308224
