Pathway	Utah Expression 24vs35 PermutedAUCs	Ontario Expression 24vs35 PermutedAUCs	Utah Expression 0124vs35 PermutedAUCs	Ontario Expression 0124vs35 PermutedAUCs	Lim PermutedAUCs	Bellacosa Breast PermutedAUCs
BIOCARTA_EGF_PATHWAY	0.001	0.006	0.002	0.249	0.056	0.121
BIOCARTA_EIF2_PATHWAY	0.882	0.724	0.907	0.396	0.022	0.997
BIOCARTA_EIF4_PATHWAY	0.065	0.028	0.011	0.338	0.052	0.88
BIOCARTA_EIF_PATHWAY	0.03	0.567	0.014	0.485	0.013	1
BIOCARTA_EPHA4_PATHWAY	0.107	0.052	0.07	0.196	0.13	1
BIOCARTA_EPONFKB_PATHWAY	0.638	0.164	0.081	0.107	0.138	0.297
BIOCARTA_EPO_PATHWAY	0.035	0.014	0.007	0.177	0.063	0.052
BIOCARTA_ERK5_PATHWAY	0.021	0.015	0.039	0.051	0.688	0.014
BIOCARTA_ERK_PATHWAY	0.009	0.012	0.001	0.127	0.025	0.102
BIOCARTA_ERYTH_PATHWAY	0.267	0.47	0.112	0.139	0.316	1
BIOCARTA_ETC_PATHWAY	0.04	0.695	0.999	0.884	0.02	0.994
BIOCARTA_ETS_PATHWAY	0.001	0.282	0.001	0.31	0.086	0.93
BIOCARTA_EXTRINSIC_PATHWAY	0.888	0.782	0.961	0.064	0.936	1
BIOCARTA_FAS_PATHWAY	0.005	0.043	0.004	0.197	0.025	0.601
BIOCARTA_FCER1_PATHWAY	0.001	0.336	0.003	0.029	0.045	0.021
BIOCARTA_FEEDER_PATHWAY	0.336	0.011	0.845	0.123	0.783	0.977
BIOCARTA_FIBRINOLYSIS_PATHWAY	0.173	0.231	0.023	0.394	0.99	1
BIOCARTA_FMLP_PATHWAY	0.001	0.032	0.002	0.081	0.025	0.038
BIOCARTA_FREE_PATHWAY	0.919	0.495	0.739	0.704	0.114	1
BIOCARTA_G1_PATHWAY	0.001	0.473	0.324	0.332	0.042	0.003
BIOCARTA_G2_PATHWAY	0.002	0.023	0.008	0.013	0.101	1
BIOCARTA_GABA_PATHWAY	0.104	0.679	0.041	0.138	0.015	1
BIOCARTA_GATA3_PATHWAY	0.859	0.072	0.206	0.007	0.206	0.951
BIOCARTA_GCR_PATHWAY	0.108	0.329	0.012	0.15	0.075	0.105
BIOCARTA_GH_PATHWAY	0.262	0.008	0.009	0.025	0.025	0.019
BIOCARTA_GLEEVEC_PATHWAY	0.001	0.01	0.001	0.233	0.03	0.015
BIOCARTA_GLYCOLYSIS_PATHWAY	0.807	0.911	0.031	0.742	0.051	0.978
BIOCARTA_GPCR_PATHWAY	0.008	0.013	0.001	0.035	0.085	0.015
BIOCARTA_GRANULOCYTES_PATHWAY	0.969	0.961	0.242	0.075	0.247	0.184
BIOCARTA_GSK3_PATHWAY	0.149	0.521	0.338	0.314	0.124	1
BIOCARTA_HCMV_PATHWAY	0.019	0.212	0.005	0.046	0.023	0.006
BIOCARTA_HDAC_PATHWAY	0.002	0.002	0.001	0.02	0.065	0.776
BIOCARTA_HER2_PATHWAY	0.273	0.009	0.046	0.035	0.039	0.004
BIOCARTA_HIF_PATHWAY	0.648	0.819	0.993	0.22	0.035	0.673
BIOCARTA_HIVNEF_PATHWAY	0.001	0.339	0.001	0.102	0.02	0.137
BIOCARTA_HSP27_PATHWAY	0.061	0.783	0.001	0.609	0.056	0.738
BIOCARTA_IGF1MTOR_PATHWAY	0.007	0.004	0.001	0.142	0.021	1
BIOCARTA_IGF1R_PATHWAY	0.001	0.003	0.001	0.138	0.025	0.711
BIOCARTA_IGF1_PATHWAY	0.028	0.005	0.001	0.117	0.03	0.92
BIOCARTA_IL10_PATHWAY	0.869	0.598	0.061	0.584	0.867	0.98
BIOCARTA_IL12_PATHWAY	0.005	0.038	0.001	0.189	0.154	0.982
BIOCARTA_IL17_PATHWAY	0.047	0.804	0.177	0.117	0.103	1
BIOCARTA_IL1R_PATHWAY	0.003	0.139	0.153	0.083	0.021	0.152
BIOCARTA_IL22BP_PATHWAY	0.627	0.039	0.781	0.022	0.244	1
BIOCARTA_IL2RB_PATHWAY	0.002	0.2	0.001	0.436	0.042	0.061
BIOCARTA_IL2_PATHWAY	0.035	0.215	0.009	0.392	0.03	0.019
BIOCARTA_IL3_PATHWAY	0.456	0.012	0.005	0.199	0.021	0.029
BIOCARTA_IL4_PATHWAY	0.18	0.401	0.946	0.673	0.025	0.221
BIOCARTA_IL5_PATHWAY	0.245	0.499	0.022	0.265	0.141	1
BIOCARTA_IL6_PATHWAY	0.485	0.008	0.01	0.205	0.051	0.106
BIOCARTA_IL7_PATHWAY	0.046	0.077	0.046	0.563	0.514	1
BIOCARTA_INFLAM_PATHWAY	0.694	0.821	0.653	0.27	0.06	0.872
BIOCARTA_INSULIN_PATHWAY	0.132	0.021	0.001	0.323	0.244	0.081
BIOCARTA_INTEGRIN_PATHWAY	0.001	0.041	0.001	0.257	0.033	0.212
BIOCARTA_INTRINSIC_PATHWAY	0.185	0.623	0.286	0.406	0.074	0.993
BIOCARTA_KERATINOCYTE_PATHWAY	0.002	0.055	0.002	0.018	0.037	0.128
BIOCARTA_KREB_PATHWAY	0.336	0.398	0.004	0.091	0.996	0.902
BIOCARTA_LAIR_PATHWAY	0.818	0.125	0.419	0.041	0.139	0.027
BIOCARTA_LECTIN_PATHWAY	0.669	0.039	0.653	0.195	0.595	0.997
BIOCARTA_LEPTIN_PATHWAY	0.054	0.709	0.283	0.259	0.708	0.978
BIOCARTA_LONGEVITY_PATHWAY	0.001	0.542	0.001	0.373	0.075	1
BIOCARTA_LYM_PATHWAY	0.643	0.68	0.935	0.259	0.04	0.992
BIOCARTA_MAL_PATHWAY	0.001	0.094	0.002	0.411	0.033	0.189
BIOCARTA_MAPK_PATHWAY	0.001	0.025	0.001	0.702	0.038	0.027
BIOCARTA_MCALPAIN_PATHWAY	0.006	0.1	0.001	0.05	0.022	1
BIOCARTA_MCM_PATHWAY	0.007	0.045	0.972	0.038	0.073	0.755
BIOCARTA_MEF2D_PATHWAY	0.002	0.324	0.014	0.243	0.066	1
BIOCARTA_MET_PATHWAY	0.001	0.002	0.007	0.206	0.036	0.094
BIOCARTA_MITOCHONDRIA_PATHWAY	0.666	0.627	0.919	0.332	0.333	0.035
BIOCARTA_MONOCYTE_PATHWAY	0.125	0.04	0.461	0.031	0.045	0.074
BIOCARTA_MPR_PATHWAY	0.001	0.352	0.001	0.493	0.033	0.377
BIOCARTA_MTA3_PATHWAY	0.959	0.02	0.913	0.343	0.035	0.934
BIOCARTA_MTOR_PATHWAY	0.053	0.508	0.003	0.908	0.018	0.587
BIOCARTA_MYOSIN_PATHWAY	0.004	0.029	0.055	0.036	0.082	0.243
BIOCARTA_NDKDYNAMIN_PATHWAY	0.083	0.167	0.554	0.052	0.009	1
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	0.194	0.441	0.229	0.896	0.315	0.999
BIOCARTA_NFAT_PATHWAY	0.029	0.175	0.012	0.054	0.045	0.448
BIOCARTA_NFKB_PATHWAY	0.025	0.663	0.007	0.057	0.029	1
BIOCARTA_NGF_PATHWAY	0.067	0.03	0.005	0.31	0.112	0.238
BIOCARTA_NKCELLS_PATHWAY	0.291	0.283	0.073	0.16	0.276	0.001
BIOCARTA_NKT_PATHWAY	0.206	0.065	0.003	0.083	0.475	0.081
BIOCARTA_NO1_PATHWAY	0.128	0.127	0.021	0.045	0.17	1
BIOCARTA_NO2IL12_PATHWAY	0.052	0.072	0.07	0.226	0.148	1
BIOCARTA_NOS1_PATHWAY	0.143	0.045	0.005	0.076	0.975	0.946
BIOCARTA_NTHI_PATHWAY	0.005	0.107	0.002	0.173	0.028	0.642
BIOCARTA_NUCLEARRS_PATHWAY	0.412	0.748	0.498	0.904	0.038	0.989
BIOCARTA_P27_PATHWAY	0.005	0.748	0.813	0.91	0.414	0.358
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.106	0.273	0.012	0.23	0.311	0.942
BIOCARTA_P38MAPK_PATHWAY	0.011	0.224	0.001	0.261	0.046	0.004
BIOCARTA_P53HYPOXIA_PATHWAY	0.022	0.023	0.026	0.054	0.048	0.735
BIOCARTA_P53_PATHWAY	0.621	0.154	0.544	0.141	0.156	0.033
BIOCARTA_PAR1_PATHWAY	0.014	0.273	0.003	0.099	0.106	0.031
BIOCARTA_PARKIN_PATHWAY	0.089	0.347	0.071	0.411	0.073	0.978
BIOCARTA_PDGF_PATHWAY	0.001	0.015	0.001	0.237	0.108	0.216
BIOCARTA_PGC1A_PATHWAY	0.1	0.226	0.001	0.084	0.845	0.067
BIOCARTA_PITX2_PATHWAY	0.032	0.095	0.651	0.197	0.303	0.955
BIOCARTA_PLATELETAPP_PATHWAY	0.875	0.909	0.037	0.418	0.042	1
BIOCARTA_PLCE_PATHWAY	0.999	0.964	0.986	0.002	1	0.039
BIOCARTA_PML_PATHWAY	0.001	0.742	0.441	0.147	0.027	0.112
BIOCARTA_PPARA_PATHWAY	0.528	0.166	0.026	0.037	0.035	0.19
BIOCARTA_PROTEASOME_PATHWAY	0.546	0.164	0.207	0.076	0.059	0.866
BIOCARTA_PS1_PATHWAY	0.911	0.394	0.283	0.389	0.023	0.191
BIOCARTA_PTC1_PATHWAY	0.318	0.891	0.895	0.745	0.052	1
BIOCARTA_PTDINS_PATHWAY	0.001	0.209	0.002	0.156	0.101	0.761
BIOCARTA_PTEN_PATHWAY	0.002	0.019	0.027	0.018	0.025	0.998
BIOCARTA_PYK2_PATHWAY	0.001	0.032	0.002	0.04	0.029	0.927
BIOCARTA_RAB_PATHWAY	0.295	0.283	0.909	0.2	0.017	0.966
BIOCARTA_RAC1_PATHWAY	0.068	0.075	0.004	0.07	0.385	0.256
BIOCARTA_RACCYCD_PATHWAY	0.001	0.128	0.005	0.804	0.021	0.006
BIOCARTA_RANKL_PATHWAY	0.499	0.368	0.966	0.695	0.991	0.538
BIOCARTA_RANMS_PATHWAY	0.807	0.979	0.963	0.618	0.02	0.969
BIOCARTA_RARRXR_PATHWAY	0.009	0.404	0.001	0.119	0.022	1
BIOCARTA_RAS_PATHWAY	0.007	0.623	0.01	0.707	0.026	0.025
BIOCARTA_RB_PATHWAY	0.002	0.008	0.002	0.052	0.087	0.93
BIOCARTA_RELA_PATHWAY	0.025	0.441	0.059	0.034	0.001	0.987
BIOCARTA_RHO_PATHWAY	0.001	0.743	0.003	0.478	0.02	0.379
BIOCARTA_RNA_PATHWAY	0.068	0.367	0.893	0.403	0.057	0.75
BIOCARTA_SALMONELLA_PATHWAY	0.002	0.826	0.001	0.966	0.03	0.817
BIOCARTA_SARS_PATHWAY	0.032	0.429	0.014	0.392	0.034	1
BIOCARTA_SET_PATHWAY	0.433	0.024	0.971	0.025	0.044	0.979
BIOCARTA_SHH_PATHWAY	0.978	0.953	0.948	0.04	0.013	0.286
BIOCARTA_SKP2E2F_PATHWAY	0.002	0.987	0.492	0.112	0.942	0.005
BIOCARTA_SODD_PATHWAY	0.623	0.054	0.29	0.039	0.882	1
BIOCARTA_SPPA_PATHWAY	0.003	0.025	0.002	0.107	0.042	0.624
BIOCARTA_SPRY_PATHWAY	0.127	0.083	0.054	0.09	0.023	0.909
BIOCARTA_SRCRPTP_PATHWAY	0.017	0.019	0.011	0.003	0.023	0.577
BIOCARTA_STATHMIN_PATHWAY	0.005	0.222	0.017	0.17	0.034	0.945
BIOCARTA_STEM_PATHWAY	0.767	0.572	0.035	0.312	0.147	1
BIOCARTA_STRESS_PATHWAY	0.001	0.004	0.006	0.004	0.02	0.416
BIOCARTA_TALL1_PATHWAY	0.114	0.536	0.144	0.465	0.155	0.998
BIOCARTA_TCAPOPTOSIS_PATHWAY	0.002	0.739	0.536	0.607	0.417	0.937
BIOCARTA_TCRA_PATHWAY	0.001	0.459	0.026	0.129	0.067	1
BIOCARTA_TCR_PATHWAY	0.001	0.268	0.009	0.092	0.023	0.12
BIOCARTA_TCYTOTOXIC_PATHWAY	0.194	0.874	0.001	0.52	0.468	1
BIOCARTA_TEL_PATHWAY	0.084	0.001	0.004	0.014	1	0.169
BIOCARTA_TFF_PATHWAY	0.005	0.218	0.009	0.149	0.04	0.033
BIOCARTA_TGFB_PATHWAY	0.018	0.033	0.005	0.294	0.268	0.099
BIOCARTA_TH1TH2_PATHWAY	0.553	0.979	0.012	0.034	0.995	0.011
BIOCARTA_THELPER_PATHWAY	0.005	0.685	0.001	0.423	0.088	0.999
BIOCARTA_TID_PATHWAY	0.002	0.032	0.015	0.121	0.154	0.009
BIOCARTA_TNFR1_PATHWAY	0.001	0.094	0.001	0.03	0.02	0.295
BIOCARTA_TNFR2_PATHWAY	0.015	0.257	0.049	0.333	0.021	1
BIOCARTA_TOB1_PATHWAY	0.002	0.471	0.053	0.443	0.995	0.033
BIOCARTA_TOLL_PATHWAY	0.027	0.269	0.013	0.167	0.088	0.002
BIOCARTA_TPO_PATHWAY	0.003	0.002	0.001	0.032	0.035	0.647
BIOCARTA_TRKA_PATHWAY	0.174	0.013	0.732	0.012	0.782	0.683
BIOCARTA_UCALPAIN_PATHWAY	0.008	0.146	0.001	0.082	0.027	0.301
BIOCARTA_VDR_PATHWAY	0.055	0.162	0.004	0.168	0.021	1
BIOCARTA_VEGF_PATHWAY	0.02	0.011	0.011	0.033	0.039	0.213
BIOCARTA_VIP_PATHWAY	0.005	0.27	0.001	0.68	0.072	1
BIOCARTA_VITCB_PATHWAY	0.846	0.827	0.155	0.664	0.084	1
BIOCARTA_WNT_PATHWAY	0.004	0.125	0.005	0.324	0.036	0.894
Byers_EMT	0.001	0.001	0.001	0.001	0.02	0.002
KEGG_ABC_TRANSPORTERS	0.207	0.243	0.031	0.123	0.032	0.001
KEGG_ACUTE_MYELOID_LEUKEMIA	0.009	0.057	0.003	0.135	0.032	0.004
KEGG_ADHERENS_JUNCTION	0.002	0.16	0.003	0.137	0.05	0.058
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.015	0.12	0.001	0.131	0.427	0.01
KEGG_AFRICAN_TRYPANOSOMIASIS	0.405	0.061	0.315	0.024	0.595	0.174
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.009	0.337	0.132	0.179	0.132	0.045
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.149	0.178	0.004	0.021	0.353	0.696
KEGG_ALLOGRAFT_REJECTION	0.57	0.251	0.007	0.212	1	0.002
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.951	0.391	0.741	0.322	0.976	0.984
KEGG_ALZHEIMERS_DISEASE	0.018	0.326	0.003	0.116	0.018	0.009
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.013	0.175	0.011	0.233	0.02	0.136
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.094	0.06	0.005	0.123	0.164	0.282
KEGG_AMOEBIASIS	0.001	0.009	0.001	0.092	0.031	0.098
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.002	0.819	0.005	0.584	0.045	0.004
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.01	0.417	0.002	0.67	0.071	0.004
KEGG_APOPTOSIS	0.025	0.19	0.003	0.283	0.021	0.448
KEGG_ARACHIDONIC_ACID_METABOLISM	0.076	0.016	0.545	0.108	0.738	0.004
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.002	0.18	0.001	0.275	0.118	0.619
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.001	0.054	0.001	0.001	0.15	0.113
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.694	0.345	0.817	0.615	0.784	0.006
KEGG_ASTHMA	0.491	0.517	0.01	0.192	1	0.995
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.136	0.402	0.076	0.199	0.94	0.018
KEGG_AXON_GUIDANCE	0.032	0.032	0.018	0.021	0.004	0.704
KEGG_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS	0.001	0.562	0.001	0.267	0.11	0.425
KEGG_BASAL_CELL_CARCINOMA	0.023	0.027	0.004	0.059	0.064	0.61
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.071	0.656	0.025	0.375	0.028	0.142
KEGG_BASE_EXCISION_REPAIR	0.065	0.012	0.006	0.064	0.025	0.451
KEGG_BETA_ALANINE_METABOLISM	0.915	0.545	0.569	0.749	1	1
KEGG_BILE_SECRETION	0.046	0.403	0.025	0.405	0.074	0.023
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.956	0.156	0.984	0.672	0.284	0.971
KEGG_BIOTIN_METABOLISM	0.276	0.587	0.754	0.911	0.99	0.989
KEGG_BLADDER_CANCER	0.023	0.093	0.012	0.023	0.031	0.019
KEGG_BUTANOATE_METABOLISM	0.019	0.618	0.001	0.302	0.436	0.448
KEGG_BUTIROSIN_AND_NEOMYCIN_BIOSYNTHESIS	0.003	0.251	0.23	0.022	0.976	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.018	0.316	0.001	0.086	0.024	0.059
KEGG_CAFFEINE_METABOLISM	0.309	0.067	0.991	0.976	0.972	1
KEGG_CALCIUM_SIGNALING_PATHWAY	0.034	0.073	0.264	0.01	0.035	0.022
KEGG_CARBOHYDRATE_DIGESTION_AND_ABSORPTION	0.075	0.62	0.01	0.323	0.219	0.996
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.073	0.53	0.002	0.379	0.075	0.046
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.017	0.001	0.012	0.001	0.062	0.007
KEGG_CELL_CYCLE	0.001	0.401	0.001	0.424	0.033	0.21
KEGG_CHAGAS_DISEASE_AMERICAN_TRYPANOSOMIASIS	0.003	0.03	0.004	0.253	0.132	0.024
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.005	0.341	0.001	0.026	0.007	0.007
KEGG_CHOLINERGIC_SYNAPSE	0.033	0.103	0.001	0.121	0.065	0.014
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.001	0.012	0.001	0.243	0.03	0.015
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.005	0.912	0.02	0.697	0.495	0.041
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.082	0.589	0.007	0.01	0.174	0.189
KEGG_COLLECTING_DUCT_ACID_SECRETION	0.062	0.264	0.009	0.059	1	0.574
KEGG_COLORECTAL_CANCER	0.035	0.081	0.002	0.745	0.027	0.043
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.001	0.403	0.005	0.16	0.05	0.932
KEGG_CYANOAMINO_ACID_METABOLISM	0.35	0.643	0.413	0.06	1	1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.102	0.279	0.376	0.005	0.13	0.191
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.015	0.006	0.002	0.013	0.179	0.014
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.005	0.288	0.002	0.338	0.04	0.11
KEGG_DILATED_CARDIOMYOPATHY	0.004	0.196	0.002	0.084	0.104	0.091
KEGG_DNA_REPLICATION	0.011	0.642	0.001	0.802	0.026	0.856
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.08	0.055	0.039	0.035	0.049	0.869
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.229	0.212	0.279	0.324	0.054	0.161
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.201	0.175	0.134	0.145	0.868	0.075
KEGG_D_ARGININE_AND_D_ORNITHINE_METABOLISM	0.674	0.661	0.643	0.555	0.54	0.997
KEGG_D_GLUTAMINE_AND_D_GLUTAMATE_METABOLISM	0.002	0.401	0.509	0.139	0.014	0.023
KEGG_ECM_RECEPTOR_INTERACTION	0.001	0.066	0.001	0.045	0.026	0.004
KEGG_ENDOCRINE_AND_OTHER_FACTOR_REGULATED_CALCIUM_REABSORPTION	0.102	0.639	0.021	0.183	0.051	0.134
KEGG_ENDOCYTOSIS	0.003	0.012	0.001	0.058	0.031	0.061
KEGG_ENDOMETRIAL_CANCER	0.005	0.047	0.003	0.02	0.013	0.397
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.003	0.104	0.014	0.198	0.02	0.205
KEGG_ERBB_SIGNALING_PATHWAY	0.001	0.015	0.001	0.023	0.056	0.03
KEGG_ETHER_LIPID_METABOLISM	0.668	0.031	0.528	0.242	0.039	0.004
KEGG_FATTY_ACID_BIOSYNTHESIS	0.842	1	0.41	0.007	1	1
KEGG_FATTY_ACID_ELONGATION_IN_MITOCHONDRIA	0.248	0.08	0.001	0.033	0.002	0.98
KEGG_FATTY_ACID_METABOLISM	0.122	0.033	0.031	0.009	0.611	0.105
KEGG_FAT_DIGESTION_AND_ABSORPTION	0.888	0.019	0.688	0.122	0.286	0.004
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.021	0.004	0.001	0.013	0.116	0.016
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.008	0.576	0.001	0.017	0.025	0.021
KEGG_FOCAL_ADHESION	0.001	0.004	0.001	0.064	0.015	0.281
KEGG_FOLATE_BIOSYNTHESIS	0.909	0.7	0.88	0.504	0.217	1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.003	0.021	0.002	0.012	0.112	0.732
KEGG_GALACTOSE_METABOLISM	0.001	0.059	0.001	0.046	0.454	0.996
KEGG_GAP_JUNCTION	0.126	0.396	0.092	0.263	0.034	0.197
KEGG_GASTRIC_ACID_SECRETION	0.089	0.634	0.102	0.04	0.085	0.098
KEGG_GLIOMA	0.025	0.002	0.001	0.011	0.019	0.196
