Pathway	Utah Expression 24vs35 AUCs	Ontario Expression 24vs35 AUCs	Utah Expression 0124vs35 AUCs	Ontario Expression 0124vs35 AUCs	Lim AUCs	Bellacosa Breast AUCs
BIOCARTA_ATRBRCA_PATHWAY	0.6561772	0.6439732	0.639819	0.6333333	0.4	0.1666667
BIOCARTA_BAD_PATHWAY	0.6462704	0.7321429	0.6464555	0.6055556	0.7466667	0
BIOCARTA_BARRESTIN_PATHWAY	0.5378788	0.5301339	0.5556561	0.5587302	0.5866667	0.8611111
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.6946387	0.5368304	0.705279	0.4547619	0.8933333	0.4444444
BIOCARTA_BARR_MAPK_PATHWAY	0.6812354	0.53125	0.679638	0.5507937	0.8266667	0.7777778
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.4857226	0.6227679	0.6214178	0.5460317	0.72	0.6527778
BIOCARTA_BCR_PATHWAY	0.7097902	0.7790179	0.7215686	0.6825397	0.8	0.8611111
BIOCARTA_BIOPEPTIDES_PATHWAY	0.5512821	0.5100446	0.5886878	0.584127	0.7466667	0.6388889
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.5643939	0.5128348	0.4162896	0.497619	0.2266667	0.5416667
BIOCARTA_CACAM_PATHWAY	0.6375291	0.6372768	0.6289593	0.615873	0.1866667	0.4861111
BIOCARTA_CALCINEURIN_PATHWAY	0.5862471	0.6361607	0.6187029	0.5769841	0.76	0.05555556
BIOCARTA_CARDIACEGF_PATHWAY	0.4321096	0.3828125	0.5644042	0.6063492	0.8	0.5972222
BIOCARTA_CARM1_PATHWAY	0.527972	0.6618304	0.5713424	0.634127	0.2666667	0.125
BIOCARTA_CARM_ER_PATHWAY	0.5658508	0.5033482	0.5125189	0.5968254	0.7866667	0.9027778
BIOCARTA_CASPASE_PATHWAY	0.5454545	0.5496652	0.6953243	0.6388889	0.7733333	0.75
BIOCARTA_CBL_PATHWAY	0.6555944	0.6104911	0.6555053	0.6507937	0.7066667	0.1388889
BIOCARTA_CCR3_PATHWAY	0.7348485	0.6138393	0.6702866	0.5793651	0.7333333	0.5555556
BIOCARTA_CCR5_PATHWAY	0.5198135	0.5870536	0.6690799	0.5849206	0.76	0.1111111
BIOCARTA_CD40_PATHWAY	0.70338	0.5418527	0.628356	0.5785714	0.84	0.06944444
BIOCARTA_CDC42RAC_PATHWAY	0.722028	0.4084821	0.6874811	0.468254	0.8	0.4861111
BIOCARTA_CDK5_PATHWAY	0.5355478	0.5703125	0.533635	0.5603175	0.8133333	0.7638889
BIOCARTA_CDMAC_PATHWAY	0.6620047	0.4776786	0.738914	0.5349206	0.7866667	0.4722222
BIOCARTA_CELL2CELL_PATHWAY	0.6270396	0.671875	0.7075415	0.7031746	0.8	0.4027778
BIOCARTA_CELLCYCLE_PATHWAY	0.7354312	0.6026786	0.6144796	0.5206349	0.8133333	0.8888889
BIOCARTA_CERAMIDE_PATHWAY	0.7505828	0.5022321	0.7254902	0.5666667	0.7733333	0.1944444
BIOCARTA_CFTR_PATHWAY	0.3997669	0.6300223	0.439819	0.6968254	0.7333333	0.02777778
BIOCARTA_CHEMICAL_PATHWAY	0.6987179	0.5546875	0.6102564	0.6079365	0	0.6944444
BIOCARTA_CHREBP2_PATHWAY	0.5999417	0.4648438	0.6165913	0.4952381	0.6533333	0.6944444
BIOCARTA_CK1_PATHWAY	0.4149184	0.5881696	0.4386124	0.4674603	0.3466667	0.1111111
BIOCARTA_CLASSIC_PATHWAY	0.4356061	0.4626116	0.5101056	0.5293651	0.76	0.2222222
BIOCARTA_COMP_PATHWAY	0.4498834	0.4241071	0.4346908	0.5460317	0.7866667	0.02777778
BIOCARTA_CREB_PATHWAY	0.6544289	0.6116071	0.6365008	0.6396825	0.8	0.08333333
BIOCARTA_CSK_PATHWAY	0.7331002	0.5904018	0.6742081	0.5984127	0.8266667	0.9444444
BIOCARTA_CTCF_PATHWAY	0.6290793	0.5407366	0.6238311	0.4484127	0.8	1
BIOCARTA_CTLA4_PATHWAY	0.5635198	0.5	0.5064857	0.4769841	0	0.8611111
BIOCARTA_CTL_PATHWAY	0.7106643	0.4408482	0.6365008	0.5301587	0.7466667	0
BIOCARTA_CXCR4_PATHWAY	0.6853147	0.5982143	0.7444947	0.5952381	0.8	0.6388889
BIOCARTA_CYTOKINE_PATHWAY	0.4125874	0.4207589	0.5963801	0.6063492	0.5733333	0.7777778
BIOCARTA_D4GDI_PATHWAY	0.4609557	0.6104911	0.4591252	0.6285714	0.5733333	0.4305556
BIOCARTA_DC_PATHWAY	0.534965	0.4051339	0.6576169	0.5047619	0.6933333	0.09722222
BIOCARTA_DEATH_PATHWAY	0.5827506	0.516183	0.5701357	0.6063492	0.8	0.125
BIOCARTA_DNAFRAGMENT_PATHWAY	0.4819347	0.4308036	0.438914	0.4777778	0.56	0.2361111
BIOCARTA_DREAM_PATHWAY	0.5664336	0.6445312	0.6488688	0.6992063	0.1866667	0.02777778
BIOCARTA_ECM_PATHWAY	0.7156177	0.6886161	0.7146305	0.6214286	0.8	0.5416667
BIOCARTA_EDG1_PATHWAY	0.7039627	0.6785714	0.6742081	0.5730159	0.7733333	0.4861111
BIOCARTA_EGFR_SMRTE_PATHWAY	0.6456876	0.608817	0.654902	0.6595238	0.76	0
BIOCARTA_EGF_PATHWAY	0.7698135	0.6763393	0.7168929	0.5488095	0.7466667	0.6805556
BIOCARTA_EIF2_PATHWAY	0.4227855	0.4581473	0.426546	0.5174603	0.8	0.1527778
BIOCARTA_EIF4_PATHWAY	0.5996503	0.6489955	0.6467572	0.5333333	0.7466667	0.3333333
BIOCARTA_EIF_PATHWAY	0.6223776	0.4888393	0.6292609	0.502381	0.8533333	0.08333333
BIOCARTA_EPHA4_PATHWAY	0.5821678	0.625	0.586727	0.5595238	0.68	0.05555556
BIOCARTA_EPONFKB_PATHWAY	0.479021	0.5747768	0.5834087	0.584127	0.68	0.5833333
BIOCARTA_EPO_PATHWAY	0.6171329	0.6685268	0.6506787	0.5674603	0.7466667	0.75
BIOCARTA_ERK5_PATHWAY	0.6282051	0.6707589	0.6033183	0.6126984	0.4266667	0.8333333
BIOCARTA_ERK_PATHWAY	0.6509324	0.6729911	0.6751131	0.5801587	0.8	0.6944444
BIOCARTA_ERYTH_PATHWAY	0.5437063	0.5100446	0.5677225	0.5746032	0.5866667	0.01388889
BIOCARTA_ETC_PATHWAY	0.6171329	0.4609375	0.346908	0.4198413	0.8	0.1666667
BIOCARTA_ETS_PATHWAY	0.7983683	0.5401786	0.7179487	0.5333333	0.72	0.2916667
BIOCARTA_EXTRINSIC_PATHWAY	0.4219114	0.4425223	0.4081448	0.6095238	0.2666667	0
BIOCARTA_FAS_PATHWAY	0.6736597	0.6333705	0.6594268	0.5634921	0.8	0.4722222
BIOCARTA_FCER1_PATHWAY	0.722028	0.5345982	0.6582202	0.6309524	0.76	0.7777778
BIOCARTA_FEEDER_PATHWAY	0.5268065	0.6785714	0.4449472	0.5857143	0.3866667	0.2222222
BIOCARTA_FIBRINOLYSIS_PATHWAY	0.5585664	0.5591518	0.6220211	0.5206349	0.1333333	0
BIOCARTA_FMLP_PATHWAY	0.7208625	0.640625	0.694721	0.6031746	0.8	0.7638889
BIOCARTA_FREE_PATHWAY	0.4172494	0.4972098	0.4627451	0.4611111	0.6933333	0
BIOCARTA_G1_PATHWAY	0.7820513	0.5072545	0.5230769	0.5293651	0.7733333	0.9027778
BIOCARTA_G2_PATHWAY	0.729021	0.6573661	0.641629	0.6571429	0.6933333	0.08333333
BIOCARTA_GABA_PATHWAY	0.5844988	0.4665179	0.5957768	0.5761905	0.8133333	0
BIOCARTA_GATA3_PATHWAY	0.4341492	0.6149554	0.5457014	0.6468254	0.6266667	0.2638889
BIOCARTA_GCR_PATHWAY	0.5763403	0.5357143	0.6358974	0.5746032	0.72	0.6944444
BIOCARTA_GH_PATHWAY	0.5413753	0.6808036	0.6328808	0.6444444	0.8	0.8194444
BIOCARTA_GLEEVEC_PATHWAY	0.7972028	0.6796875	0.7499246	0.5531746	0.8	0.8194444
BIOCARTA_GLYCOLYSIS_PATHWAY	0.4446387	0.4029018	0.6060332	0.4555556	0.7466667	0.2083333
BIOCARTA_GPCR_PATHWAY	0.6544289	0.6875	0.7776772	0.6230159	0.72	0.8194444
BIOCARTA_GRANULOCYTES_PATHWAY	0.3805361	0.3716518	0.5390649	0.6055556	0.6133333	0.6388889
BIOCARTA_GSK3_PATHWAY	0.5623543	0.4966518	0.5233786	0.531746	0.68	0
BIOCARTA_HCMV_PATHWAY	0.636655	0.5602679	0.6621418	0.6190476	0.8	0.9027778
BIOCARTA_HDAC_PATHWAY	0.6701632	0.7449777	0.7333333	0.6531746	0.7466667	0.3888889
BIOCARTA_HER2_PATHWAY	0.5407925	0.6774554	0.5903469	0.6365079	0.7733333	0.9166667
BIOCARTA_HIF_PATHWAY	0.4714452	0.4285714	0.3686275	0.552381	0.7733333	0.4444444
BIOCARTA_HIVNEF_PATHWAY	0.7791375	0.5340402	0.7375566	0.5920635	0.8133333	0.6666667
BIOCARTA_HSP27_PATHWAY	0.5967366	0.4419643	0.6886878	0.4801587	0.7466667	0.4166667
BIOCARTA_IGF1MTOR_PATHWAY	0.6713287	0.7198661	0.7227753	0.5769841	0.8	0
BIOCARTA_IGF1R_PATHWAY	0.7226107	0.7276786	0.7110106	0.5769841	0.8133333	0.4166667
BIOCARTA_IGF1_PATHWAY	0.6206294	0.7131696	0.7146305	0.5857143	0.8	0.3055556
BIOCARTA_IL10_PATHWAY	0.4283217	0.4810268	0.5909502	0.4873016	0.3466667	0.2083333
BIOCARTA_IL12_PATHWAY	0.6748252	0.6350446	0.6828054	0.5650794	0.6666667	0.1805556
BIOCARTA_IL17_PATHWAY	0.608683	0.4363839	0.5496229	0.5857143	0.6933333	0
BIOCARTA_IL1R_PATHWAY	0.6631702	0.5820312	0.5598793	0.5952381	0.8	0.6597222
BIOCARTA_IL22BP_PATHWAY	0.483683	0.6328125	0.4555053	0.6396825	0.6133333	0.02777778
BIOCARTA_IL2RB_PATHWAY	0.6704545	0.5608259	0.7171946	0.5126984	0.7733333	0.7361111
BIOCARTA_IL2_PATHWAY	0.6153846	0.5613839	0.6229261	0.5222222	0.7866667	0.8055556
BIOCARTA_IL3_PATHWAY	0.5110723	0.6813616	0.6497738	0.5619048	0.8266667	0.7916667
BIOCARTA_IL4_PATHWAY	0.5597319	0.515625	0.414178	0.4690476	0.8	0.625
BIOCARTA_IL5_PATHWAY	0.5460373	0.5011161	0.6135747	0.5428571	0.68	0.02777778
BIOCARTA_IL6_PATHWAY	0.5029138	0.6908482	0.6286576	0.5611111	0.76	0.6944444
BIOCARTA_IL7_PATHWAY	0.6136364	0.6071429	0.5975867	0.4920635	0.5066667	0.02777778
BIOCARTA_INFLAM_PATHWAY	0.467366	0.4319196	0.4823529	0.5436508	0.7466667	0.3333333
BIOCARTA_INSULIN_PATHWAY	0.5687646	0.6584821	0.7101056	0.531746	0.6133333	0.7222222
BIOCARTA_INTEGRIN_PATHWAY	0.7226107	0.6383929	0.7227753	0.5492063	0.7866667	0.625
BIOCARTA_INTRINSIC_PATHWAY	0.5582751	0.4787946	0.5303167	0.5126984	0.7333333	0.1527778
BIOCARTA_KERATINOCYTE_PATHWAY	0.701049	0.6227679	0.6844646	0.6412698	0.7866667	0.6805556
BIOCARTA_KREB_PATHWAY	0.530303	0.5212054	0.6509804	0.5944444	0.1333333	0.3194444
BIOCARTA_LAIR_PATHWAY	0.4417249	0.5892857	0.5143288	0.6269841	0.68	0.7916667
BIOCARTA_LECTIN_PATHWAY	0.4746503	0.6328125	0.4763198	0.5587302	0.4666667	0.1527778
BIOCARTA_LEPTIN_PATHWAY	0.5990676	0.4575893	0.533635	0.55	0.4133333	0.2083333
BIOCARTA_LONGEVITY_PATHWAY	0.6625874	0.4899554	0.6975867	0.5246032	0.72	0.08333333
BIOCARTA_LYM_PATHWAY	0.4796037	0.4698661	0.4174962	0.5460317	0.7733333	0.1527778
BIOCARTA_MAL_PATHWAY	0.7016317	0.5970982	0.6558069	0.5174603	0.8	0.6388889
BIOCARTA_MAPK_PATHWAY	0.7418415	0.6506696	0.6772247	0.4642857	0.7733333	0.8055556
BIOCARTA_MCALPAIN_PATHWAY	0.6759907	0.6037946	0.7095023	0.615873	0.8133333	0
BIOCARTA_MCM_PATHWAY	0.6518065	0.640625	0.399095	0.6285714	0.7333333	0.4027778
BIOCARTA_MEF2D_PATHWAY	0.6969697	0.5390625	0.6211161	0.5563492	0.7333333	0
BIOCARTA_MET_PATHWAY	0.6899767	0.7042411	0.6346908	0.5579365	0.7866667	0.6944444
BIOCARTA_MITOCHONDRIA_PATHWAY	0.4682401	0.4776786	0.4244344	0.5269841	0.5733333	0.7777778
BIOCARTA_MONOCYTE_PATHWAY	0.5763403	0.6322545	0.507994	0.6253968	0.7733333	0.7222222
BIOCARTA_MPR_PATHWAY	0.6899767	0.530692	0.7286576	0.5063492	0.7866667	0.5555556
BIOCARTA_MTA3_PATHWAY	0.3953963	0.6607143	0.4232278	0.5222222	0.7733333	0.2916667
BIOCARTA_MTOR_PATHWAY	0.6051865	0.5011161	0.6675716	0.4063492	0.8	0.4722222
BIOCARTA_MYOSIN_PATHWAY	0.6824009	0.6551339	0.5906486	0.6261905	0.72	0.6111111
BIOCARTA_NDKDYNAMIN_PATHWAY	0.5815851	0.578125	0.494721	0.6198413	0.88	0
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	0.5574009	0.5100446	0.5457014	0.4119048	0.5733333	0.08333333
BIOCARTA_NFAT_PATHWAY	0.6229604	0.5697545	0.6220211	0.6150794	0.7733333	0.5277778
BIOCARTA_NFKB_PATHWAY	0.6241259	0.4676339	0.6374057	0.6079365	0.8	0
BIOCARTA_NGF_PATHWAY	0.5938228	0.6378348	0.6588235	0.5361111	0.6933333	0.625
BIOCARTA_NKCELLS_PATHWAY	0.5355478	0.5412946	0.5873303	0.5706349	0.6	0.9166667
BIOCARTA_NKT_PATHWAY	0.5562354	0.6104911	0.6597285	0.6015873	0.5066667	0.7222222
BIOCARTA_NO1_PATHWAY	0.5716783	0.5870536	0.6211161	0.6238095	0.6533333	0
BIOCARTA_NO2IL12_PATHWAY	0.6060606	0.6065848	0.5870287	0.5595238	0.6666667	0.02777778
BIOCARTA_NOS1_PATHWAY	0.5710956	0.6462054	0.6419306	0.6015873	0.2133333	0.2638889
BIOCARTA_NTHI_PATHWAY	0.6963869	0.5948661	0.687632	0.5646825	0.8	0.4583333
BIOCARTA_NUCLEARRS_PATHWAY	0.513986	0.4458705	0.4992459	0.4126984	0.7733333	0.2083333
BIOCARTA_P27_PATHWAY	0.6666667	0.4503348	0.454902	0.4087302	0.5333333	0.5555556
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.57838	0.5513393	0.6325792	0.552381	0.5733333	0.2638889
BIOCARTA_P38MAPK_PATHWAY	0.6550117	0.5613839	0.7037707	0.5460317	0.7733333	0.9027778
BIOCARTA_P53HYPOXIA_PATHWAY	0.6293706	0.65625	0.6093514	0.6190476	0.7466667	0.4166667
BIOCARTA_P53_PATHWAY	0.4793124	0.5714286	0.4965309	0.5793651	0.6533333	0.7916667
BIOCARTA_PAR1_PATHWAY	0.6468531	0.5479911	0.6597285	0.5880952	0.7066667	0.7916667
BIOCARTA_PARKIN_PATHWAY	0.5844988	0.5334821	0.5803922	0.5134921	0.7333333	0.2222222
BIOCARTA_PDGF_PATHWAY	0.6952214	0.6651786	0.6742081	0.5547619	0.6933333	0.625
BIOCARTA_PGC1A_PATHWAY	0.5850816	0.5652902	0.7363499	0.5960317	0.3466667	0.7222222
BIOCARTA_PITX2_PATHWAY	0.6113054	0.6049107	0.480543	0.5626984	0.5866667	0.25
BIOCARTA_PLATELETAPP_PATHWAY	0.4294872	0.3962054	0.6042232	0.515873	0.76	0.01388889
BIOCARTA_PLCE_PATHWAY	0.3257576	0.3660714	0.3737557	0.7031746	0	0.7777778
BIOCARTA_PML_PATHWAY	0.6783217	0.4542411	0.5082956	0.5738095	0.8	0.6944444
BIOCARTA_PPARA_PATHWAY	0.497669	0.5714286	0.6072398	0.6206349	0.7733333	0.6388889
BIOCARTA_PROTEASOME_PATHWAY	0.4912587	0.5736607	0.546003	0.6	0.7333333	0.3472222
BIOCARTA_PS1_PATHWAY	0.4195804	0.5245536	0.53273	0.5230159	0.8	0.6388889
BIOCARTA_PTC1_PATHWAY	0.534965	0.4073661	0.4355958	0.4507937	0.7466667	0.04166667
BIOCARTA_PTDINS_PATHWAY	0.705711	0.5647321	0.6579186	0.5722222	0.6933333	0.4027778
BIOCARTA_PTEN_PATHWAY	0.705711	0.65625	0.614178	0.6507937	0.8	0.125
BIOCARTA_PYK2_PATHWAY	0.70338	0.6395089	0.7176471	0.6253968	0.8	0.2916667
BIOCARTA_RAB_PATHWAY	0.5384615	0.5457589	0.4238311	0.5611111	0.8	0.25
BIOCARTA_RAC1_PATHWAY	0.5926573	0.6060268	0.6437406	0.6007937	0.5466667	0.6111111
BIOCARTA_RACCYCD_PATHWAY	0.719697	0.5915179	0.6555053	0.4436508	0.8	0.8611111
BIOCARTA_RANKL_PATHWAY	0.5034965	0.5267857	0.4051282	0.4698413	0.1733333	0.5
BIOCARTA_RANMS_PATHWAY	0.4475524	0.3498884	0.3936652	0.4793651	0.8	0.25
BIOCARTA_RARRXR_PATHWAY	0.6433566	0.5178571	0.666365	0.5865079	0.8	0
BIOCARTA_RAS_PATHWAY	0.6643357	0.4754464	0.638009	0.4619048	0.8	0.8055556
BIOCARTA_RB_PATHWAY	0.6952214	0.6830357	0.6808446	0.6190476	0.72	0.2777778
BIOCARTA_RELA_PATHWAY	0.6168415	0.5145089	0.5972851	0.6333333	0.96	0.1666667
BIOCARTA_RHO_PATHWAY	0.7027972	0.453125	0.6889894	0.5047619	0.8	0.5555556
BIOCARTA_RNA_PATHWAY	0.5979021	0.5228795	0.4313725	0.5111111	0.7466667	0.4027778
BIOCARTA_SALMONELLA_PATHWAY	0.701049	0.4313616	0.681448	0.3769841	0.8	0.375
BIOCARTA_SARS_PATHWAY	0.6194639	0.5122768	0.6307692	0.5230159	0.7866667	0
BIOCARTA_SET_PATHWAY	0.5122378	0.6445312	0.3927602	0.6412698	0.7733333	0.1944444
BIOCARTA_SHH_PATHWAY	0.3694639	0.3699777	0.4045249	0.6150794	0.84	0.5972222
BIOCARTA_SKP2E2F_PATHWAY	0.6879371	0.3387277	0.5001508	0.5849206	0.2666667	0.8888889
BIOCARTA_SODD_PATHWAY	0.481352	0.6177455	0.5303167	0.6190476	0.3333333	0
BIOCARTA_SPPA_PATHWAY	0.6780303	0.6428571	0.6865762	0.5888889	0.7733333	0.4583333
BIOCARTA_SPRY_PATHWAY	0.5763403	0.6049107	0.6003017	0.5936508	0.8	0.3055556
BIOCARTA_SRCRPTP_PATHWAY	0.6520979	0.6707589	0.6346908	0.6888889	0.8	0.4722222
BIOCARTA_STATHMIN_PATHWAY	0.6573427	0.5636161	0.6129713	0.5714286	0.7866667	0.2777778
BIOCARTA_STEM_PATHWAY	0.45338	0.4905134	0.6006033	0.5333333	0.6666667	0
BIOCARTA_STRESS_PATHWAY	0.7016317	0.6863839	0.6392157	0.6809524	0.8266667	0.5416667
BIOCARTA_TALL1_PATHWAY	0.5786713	0.4938616	0.5625943	0.5055556	0.6666667	0.125
BIOCARTA_TCAPOPTOSIS_PATHWAY	0.6818182	0.4575893	0.4950226	0.481746	0.5466667	0.2777778
BIOCARTA_TCRA_PATHWAY	0.7092075	0.5111607	0.6084465	0.5801587	0.7466667	0.01388889
BIOCARTA_TCR_PATHWAY	0.7465035	0.5558036	0.6383107	0.5952381	0.8	0.6805556
BIOCARTA_TCYTOTOXIC_PATHWAY	0.5629371	0.4207589	0.727451	0.5007937	0.52	0
BIOCARTA_TEL_PATHWAY	0.5859557	0.8069196	0.6536953	0.6642857	0	0.6527778
BIOCARTA_TFF_PATHWAY	0.6655012	0.5647321	0.638914	0.5777778	0.76	0.7777778
BIOCARTA_TGFB_PATHWAY	0.6293706	0.6378348	0.6383107	0.5380952	0.6	0.7083333
BIOCARTA_TH1TH2_PATHWAY	0.4898019	0.3482143	0.6371041	0.6309524	0.12	0.8611111
BIOCARTA_THELPER_PATHWAY	0.6853147	0.46875	0.7384615	0.5174603	0.72	0.09722222
BIOCARTA_TID_PATHWAY	0.7027972	0.6417411	0.6171946	0.5888889	0.6666667	0.8611111
BIOCARTA_TNFR1_PATHWAY	0.7138695	0.5959821	0.6850679	0.631746	0.8	0.5833333
BIOCARTA_TNFR2_PATHWAY	0.6282051	0.5485491	0.5897436	0.5277778	0.8133333	0
BIOCARTA_TOB1_PATHWAY	0.6905594	0.5122768	0.588537	0.5119048	0.1333333	0.7777778
BIOCARTA_TOLL_PATHWAY	0.6264569	0.5446429	0.6208145	0.565873	0.7066667	0.8888889
BIOCARTA_TPO_PATHWAY	0.6707459	0.7633929	0.7309201	0.6269841	0.7866667	0.4583333
BIOCARTA_TRKA_PATHWAY	0.5649767	0.6813616	0.4660633	0.6642857	0.3866667	0.4305556
BIOCARTA_UCALPAIN_PATHWAY	0.6561772	0.5859375	0.6904977	0.6007937	0.8	0.5833333
BIOCARTA_VDR_PATHWAY	0.6028555	0.5753348	0.6615385	0.5666667	0.8	0
BIOCARTA_VEGF_PATHWAY	0.6258741	0.6685268	0.6304676	0.6246032	0.7866667	0.6388889
BIOCARTA_VIP_PATHWAY	0.6649184	0.5491071	0.7499246	0.468254	0.7333333	0
BIOCARTA_VITCB_PATHWAY	0.4353147	0.4285714	0.5604827	0.4678571	0.72	0.04166667
BIOCARTA_WNT_PATHWAY	0.6582168	0.5920759	0.6487179	0.5365079	0.7733333	0.3194444
Byers_EMT	0.7325175	0.8247768	0.6971342	0.7190476	0.8	0.9305556
KEGG_ABC_TRANSPORTERS	0.5518648	0.5602679	0.6046757	0.5865079	0.7866667	0.9305556
KEGG_ACUTE_MYELOID_LEUKEMIA	0.6672494	0.6227679	0.6564103	0.5753968	0.8	0.875
KEGG_ADHERENS_JUNCTION	0.7109557	0.5747768	0.6772247	0.5809524	0.7466667	0.7361111
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.641317	0.5859375	0.6612368	0.5761905	0.5333333	0.8333333
KEGG_AFRICAN_TRYPANOSOMIASIS	0.5134033	0.625558	0.5230769	0.6365079	0.4666667	0.6527778
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.6579254	0.5323661	0.5634992	0.5666667	0.68	0.75
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.5681818	0.5758929	0.6449472	0.6373016	0.56	0.4305556
KEGG_ALLOGRAFT_REJECTION	0.488345	0.5563616	0.6334842	0.5563492	0.06666667	0.9305556
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.3927739	0.5223214	0.4660633	0.534127	0.2133333	0.1805556
KEGG_ALZHEIMERS_DISEASE	0.6311189	0.5345982	0.6606335	0.5809524	0.8133333	0.875
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.6407343	0.5725446	0.6310709	0.5551587	0.8133333	0.6805556
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.5812937	0.6205357	0.6645551	0.5781746	0.6533333	0.5972222
KEGG_AMOEBIASIS	0.717366	0.6830357	0.7324284	0.5936508	0.8	0.7083333
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.6800699	0.4324777	0.6642534	0.4888889	0.76	0.9027778
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.6486014	0.5167411	0.6757164	0.4730159	0.7333333	0.8888889
KEGG_APOPTOSIS	0.6206294	0.5691964	0.6482655	0.5412698	0.8266667	0.5277778
KEGG_ARACHIDONIC_ACID_METABOLISM	0.5935315	0.6674107	0.4935143	0.5928571	0.4	0.8888889
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.6818182	0.5758929	0.6561086	0.5452381	0.68	0.4583333
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.7715618	0.6350446	0.7156863	0.7166667	0.6666667	0.6944444
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.467366	0.5284598	0.4479638	0.4825397	0.3733333	0.875
KEGG_ASTHMA	0.5005828	0.5022321	0.6374057	0.5650794	0.06666667	0.125
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.5722611	0.5133929	0.5855204	0.5595238	0.2666667	0.8194444
KEGG_AXON_GUIDANCE	0.6159674	0.6629464	0.6135747	0.6452381	0.8933333	0.4305556
KEGG_BACTERIAL_INVASION_OF_EPITHELIAL_CELLS	0.7703963	0.4910714	0.7817496	0.5460317	0.7066667	0.5416667
KEGG_BASAL_CELL_CARCINOMA	0.6381119	0.6489955	0.6322775	0.6079365	0.7333333	0.4722222
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.5938228	0.4698661	0.6081448	0.5222222	0.8	0.6666667
KEGG_BASE_EXCISION_REPAIR	0.5926573	0.6752232	0.6518854	0.6079365	0.8	0.5277778
KEGG_BETA_ALANINE_METABOLISM	0.4172494	0.4882812	0.494721	0.452381	0	0
KEGG_BILE_SECRETION	0.6083916	0.5217634	0.613273	0.5190476	0.72	0.8055556
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.3863636	0.5770089	0.3809955	0.465873	0.6	0.2222222
