	Utah Expression 24vs35 AUCs	Ontario Expression 24vs35 AUCs	Utah Expression 0124vs35 AUCs	Ontario Expression 0124vs35 AUCs	Lim AUCs	Bellacosa Breast AUCs	Utah Expression 24vs35 PermutedAUCs	Ontario Expression 24vs35 PermutedAUCs	Utah Expression 0124vs35 PermutedAUCs	Ontario Expression 0124vs35 PermutedAUCs	Lim PermutedAUCs	Bellacosa Breast PermutedAUCs	NumControlNonMut	NumControlMut	NumCancerNonMut	NumCancerMut	Utah Exome 24vs35	Rank.p.value	Rank.p.value
BIOCARTA_ECM_PATHWAY	0.7156177	0.6886161	0.7146305	0.6214286	0.8	0.5416667	0.002	0.007	0.001	0.055	0.032	0.426	15	1	15	4	0.147932152047134	0.0160463189465693	0.0546363985281423
KEGG_OOCYTE_MEIOSIS	0.7307692	0.4966518	0.7010558	0.5698413	0.7866667	0.6944444	0.001	0.541	0.001	0.166	0.038	0.105	14	2	13	6	0.105263382096473	0.117840702530276	0.0553630512242875
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.5617716	0.6484375	0.6500754	0.5904762	0.8	0.8333333	0.171	0.028	0.008	0.09	0.026	0.012	12	4	12	7	0.299017324688537	0.318880221492455	0.0554751790481667
KEGG_MEASLES	0.5932401	0.6261161	0.6295626	0.647619	0.76	0.8333333	0.087	0.052	0.011	0.019	0.05	0.014	10	6	9	10	0.283260628088966	0.263661541950633	0.0558571472402632
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	0.719697	0.5742188	0.6300151	0.5944444	0.7866667	0.7361111	0.001	0.172	0.008	0.075	0.032	0.065	16	0	17	2	0.126223639753789	0.044276754584806	0.0563368554865874
KEGG_BLADDER_CANCER	0.6264569	0.5993304	0.627451	0.6404762	0.8	0.8055556	0.023	0.093	0.012	0.023	0.031	0.019	13	3	14	5	0.326763027852778	0.287204636116006	0.0579603297514648
ST_INTEGRIN_SIGNALING_PATHWAY	0.740676	0.7254464	0.7037707	0.6111111	0.7733333	0.6527778	0.001	0.003	0.001	0.069	0.039	0.179	13	3	12	7	0.148268988981226	0.00968008718523126	0.0583756702206413
BIOCARTA_RACCYCD_PATHWAY	0.719697	0.5915179	0.6555053	0.4436508	0.8	0.8611111	0.001	0.128	0.005	0.804	0.021	0.006	16	0	15	4	0.0348849651021161	0.018912736886947	0.0587533600401977
BIOCARTA_GLEEVEC_PATHWAY	0.7972028	0.6796875	0.7499246	0.5531746	0.8	0.8194444	0.001	0.01	0.001	0.233	0.03	0.015	15	1	16	3	0.299008846014946	0.0225064051608532	0.0593444496636152
KEGG_ENDOCYTOSIS	0.7004662	0.6729911	0.6995475	0.6071429	0.8	0.7361111	0.003	0.012	0.001	0.058	0.031	0.061	4	12	4	15	0.441554681299689	0.091100697001698	0.0613811567280037
BIOCARTA_FMLP_PATHWAY	0.7208625	0.640625	0.694721	0.6031746	0.8	0.7638889	0.001	0.032	0.002	0.081	0.025	0.038	14	2	16	3	0.441554681299689	0.0727997342570894	0.0623424924886974
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_	0.7039627	0.6763393	0.6606335	0.5730159	0.8	0.7638889	0.003	0.018	0.002	0.163	0.026	0.037	15	1	16	3	0.299008846014946	0.0524565620606577	0.0641746191756432
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	0.6689977	0.6774554	0.6432881	0.6055556	0.7733333	0.6805556	0.004	0.016	0.008	0.069	0.033	0.118	14	2	13	6	0.105263382096473	0.0193787815382128	0.0648463627257541
KEGG_MELANOMA	0.6657925	0.7466518	0.6482655	0.6357143	0.8933333	0.5694444	0.004	0.001	0.007	0.03	0.008	0.332	10	6	10	9	0.325413190194502	0.0550942054669446	0.0658617747395376
BIOCARTA_SRCRPTP_PATHWAY	0.6520979	0.6707589	0.6346908	0.6888889	0.8	0.4722222	0.017	0.019	0.011	0.003	0.023	0.577	16	0	18	1	0.283260628088936	0.0923795170166935	0.0675608379955152
REACTOME_GPCR_LIGAND_BINDING	0.6963869	0.5212054	0.6627451	0.6079365	0.7333333	0.7361111	0.003	0.417	0.002	0.065	0.073	0.054	3	13	1	18	0.13243288897227	0.18391677454981	0.0677092756427995
KEGG_PANCREATIC_SECRETION	0.6217949	0.6065848	0.5942685	0.6412698	0.6933333	0.9305556	0.024	0.101	0.049	0.023	0.117	0.004	12	4	10	9	0.104119802308224	0.113796541080292	0.0692715774742441
BIOCARTA_ERK_PATHWAY	0.6509324	0.6729911	0.6751131	0.5801587	0.8	0.6944444	0.009	0.012	0.001	0.127	0.025	0.102	15	1	17	2	0.392356272835336	0.114680075190086	0.0713013902012564
KEGG_PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM	0.6841492	0.6506696	0.7019608	0.584127	0.8	0.7916667	0.002	0.03	0.001	0.118	0.03	0.03	9	7	10	9	0.450538211859596	0.109064944799649	0.0721471888768425
BIOCARTA_IGF1R_PATHWAY	0.7226107	0.7276786	0.7110106	0.5769841	0.8133333	0.4166667	0.001	0.003	0.001	0.138	0.025	0.711	16	0	17	2	0.126223639753789	0.00631829067839191	0.0726009898352297
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.6532634	0.5970982	0.6733032	0.5896825	0.7866667	0.8472222	0.007	0.097	0.001	0.115	0.03	0.004	11	5	15	4	0.998542629838389	0.401885009767077	0.0730644353145094
SIG_BCR_SIGNALING_PATHWAY	0.6322844	0.6037946	0.5960784	0.6142857	0.7866667	0.75	0.015	0.103	0.05	0.049	0.035	0.051	15	1	14	5	0.0878934421477746	0.0878461814233303	0.0733841777770329
KEGG_INFLUENZA_A	0.5658508	0.5954241	0.6355958	0.5793651	0.8133333	0.8194444	0.152	0.105	0.01	0.127	0.023	0.012	8	8	8	11	0.343609922765544	0.497843269036531	0.0745183429818932
BIOCARTA_PAR1_PATHWAY	0.6468531	0.5479911	0.6597285	0.5880952	0.7066667	0.7916667	0.014	0.273	0.003	0.099	0.106	0.031	15	1	14	5	0.0878934421477746	0.158381091366191	0.0747282866949662
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.6637529	0.6529018	0.6790347	0.631746	0.6133333	0.5833333	0.006	0.023	0.001	0.028	0.249	0.32	11	5	7	12	0.0382403190410345	0.0192220179959036	0.0758343954290029
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.6509324	0.6205357	0.641629	0.6039683	0.7733333	0.6666667	0.005	0.068	0.005	0.067	0.041	0.156	13	3	11	8	0.0901649534073515	0.0424163856569238	0.0766835058405354
KEGG_DILATED_CARDIOMYOPATHY	0.6625874	0.5708705	0.6410256	0.6055556	0.7066667	0.7083333	0.004	0.196	0.002	0.084	0.104	0.091	13	3	10	9	0.0524138015180882	0.0643747433144637	0.0768945896551665
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.6660839	0.6735491	0.612368	0.6539683	0.7333333	0.9722222	0.002	0.014	0.022	0.014	0.074	0.002	16	0	19	0	NA	0.0329028039685444	0.0771279671437386
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	0.6847319	0.5412946	0.7116139	0.502381	0.8133333	0.5694444	0.002	0.289	0.001	0.476	0.017	0.345	12	4	9	10	0.0584014564040313	0.0714167771470578	0.0785383833775698
REACTOME_INSULIN_SYNTHESIS_AND_SECRETION	0.6754079	0.563058	0.6739065	0.6190476	0.8266667	0.8194444	0.005	0.212	0.002	0.047	0.012	0.022	8	8	14	5	0.999999999426931	0.640171849004601	0.0804737308024071
