	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCA	Number instances predicted as dependent variable class BRCA correctly	Number instances predicted as dependent variable class BRCA incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCA	Number instances with dependent variable class BRCA predicted correctly	Number instances with dependent variable class BRCA predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCA	Proportion instances predicted as dependent variable class BRCA correctly	Proportion instances predicted as dependent variable class BRCA incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCA	Proportion instances with dependent variable class BRCA predicted correctly	Proportion instances with dependent variable class BRCA predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
Visvader_BIOCARTA_ASBCELL_PATHWAY_weka_svm_weights_r_svm_rbf	0.17333333333333334	0.75	0.25	0.0	NA	0.25	0.0	0.41510659293466456	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	107.4393534654426	0.469083513411773	108.18128953847695	15	5	0.0
Visvader_BIOCARTA_AT1R_PATHWAY_weka_svm_weights_r_svm_rbf	0.8	0.95	0.25	0.19999999999999996	NA	0.050000000000000044	0.857142857142857	0.24764253294165414	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	64.09571440842814	0.3232814095272117	74.55601991232224	19	1	0.8
Visvader_BIOCARTA_ATM_PATHWAY_weka_svm_weights_r_svm_rbf	0.7733333333333333	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.27272727272727293	0.3143261542780199	19.0	15.0	4.0	1.0	1.0	0.0	15.0	15.0	0.0	5.0	1.0	4.0	0.95	0.7894736842105263	0.21052631578947367	0.05	1.0	0.0	0.75	1.0	0.0	0.25	0.2	0.8	81.35500463666398	0.3869469245031595	89.23873058602547	16	4	0.19999999999999996
Visvader_BIOCARTA_ATRBRCA_PATHWAY_weka_svm_weights_r_svm_rbf	0.49333333333333335	0.75	0.25	0.0	NA	0.25	0.0	0.37882081853864547	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	98.04774126882589	0.4598349854884063	106.04836938998274	15	5	0.0
Visvader_BIOCARTA_BAD_PATHWAY_weka_svm_weights_r_svm_rbf	0.7466666666666667	0.75	0.25	0.0	NA	0.25	0.1666666666666668	0.30975429378591124	18.0	14.0	4.0	2.0	1.0	1.0	15.0	14.0	1.0	5.0	1.0	4.0	0.9	0.7777777777777778	0.2222222222222222	0.1	0.5	0.5	0.75	0.9333333333333333	0.06666666666666667	0.25	0.2	0.8	80.1716995681182	0.3943929206960308	90.95594606474623	15	5	0.1333333333333333
Visvader_BIOCARTA_BARRESTIN_PATHWAY_weka_svm_weights_r_svm_rbf	0.64	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.3543914357297014	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	91.72484218886389	0.42980308116677446	99.12233160796772	14	6	-0.06666666666666665
Visvader_BIOCARTA_BARRESTIN_SRC_PATHWAY_weka_svm_weights_r_svm_rbf	0.8133333333333332	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.3846153846153847	0.2598634748660939	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	67.25878173004783	0.35419969127146717	81.68647641692205	16	4	0.3333333333333335
Visvader_BIOCARTA_BARR_MAPK_PATHWAY_weka_svm_weights_r_svm_rbf	0.8400000000000001	0.75	0.25	0.0	NA	0.25	0.1666666666666668	0.2850353835946584	18.0	14.0	4.0	2.0	1.0	1.0	15.0	14.0	1.0	5.0	1.0	4.0	0.9	0.7777777777777778	0.2222222222222222	0.1	0.5	0.5	0.75	0.9333333333333333	0.06666666666666667	0.25	0.2	0.8	73.77386398920571	0.3939591503850712	90.85590880003441	15	5	0.1333333333333333
Visvader_BIOCARTA_BCELLSURVIVAL_PATHWAY_weka_svm_weights_r_svm_rbf	0.6666666666666666	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.27272727272727293	0.3362567857586315	19.0	15.0	4.0	1.0	1.0	0.0	15.0	15.0	0.0	5.0	1.0	4.0	0.95	0.7894736842105263	0.21052631578947367	0.05	1.0	0.0	0.75	1.0	0.0	0.25	0.2	0.8	87.03116807870462	0.4118405743101793	94.97977042316562	16	4	0.19999999999999996
Visvader_BIOCARTA_BCR_PATHWAY_weka_svm_weights_r_svm_rbf	0.8	0.95	0.25	0.19999999999999996	NA	0.050000000000000044	0.857142857142857	0.2535772319752459	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	65.63175415829893	0.3233549635583467	74.57298313893634	19	1	0.8
Visvader_BIOCARTA_BIOPEPTIDES_PATHWAY_weka_svm_weights_r_svm_rbf	0.7333333333333333	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.3846153846153847	0.3035184241807157	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	78.55770978794993	0.38591858820533803	89.00157292945292	16	4	0.3333333333333335
Visvader_BIOCARTA_BLYMPHOCYTE_PATHWAY_weka_svm_weights_r_svm_rbf	0.32	0.75	0.25	0.0	NA	0.25	0.0	0.3849458474973262	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	99.6330428816609	0.46619340443891666	107.5147649076787	15	5	0.0
Visvader_BIOCARTA_CACAM_PATHWAY_weka_svm_weights_r_svm_rbf	0.17333333333333334	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.40878594985336714	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	105.80342231498913	0.49525278988158866	114.21651779496106	14	6	-0.06666666666666665
Visvader_BIOCARTA_CALCINEURIN_PATHWAY_weka_svm_weights_r_svm_rbf	0.76	0.75	0.25	0.0	NA	0.25	0.1666666666666668	0.295179492372006	18.0	14.0	4.0	2.0	1.0	1.0	15.0	14.0	1.0	5.0	1.0	4.0	0.9	0.7777777777777778	0.2222222222222222	0.1	0.5	0.5	0.75	0.9333333333333333	0.06666666666666667	0.25	0.2	0.8	76.39939802569569	0.37548260676737316	86.59479908795232	15	5	0.1333333333333333
Visvader_BIOCARTA_CARDIACEGF_PATHWAY_weka_svm_weights_r_svm_rbf	0.8	0.95	0.25	0.19999999999999996	NA	0.050000000000000044	0.857142857142857	0.2312441398309189	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	59.85142442682607	0.31611203568866386	72.90259981789933	19	1	0.8
Visvader_BIOCARTA_CARM1_PATHWAY_weka_svm_weights_r_svm_rbf	0.3466666666666667	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.39496431914221203	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	102.22605907210195	0.46560482514971413	107.37902518398118	14	6	-0.06666666666666665
Visvader_BIOCARTA_CARM_ER_PATHWAY_weka_svm_weights_r_svm_rbf	0.76	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.27640142383154626	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	71.53919205051785	0.3602562541889707	83.08325709211772	17	3	0.3999999999999999
Visvader_BIOCARTA_CASPASE_PATHWAY_weka_svm_weights_r_svm_rbf	0.7466666666666667	0.75	0.25	0.0	NA	0.25	0.0	0.3348601746362631	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	86.66969225879751	0.4092469568575137	94.38162345663056	15	5	0.0
Visvader_BIOCARTA_CBL_PATHWAY_weka_svm_weights_r_svm_rbf	0.76	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.3846153846153847	0.3240033333872057	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	83.85968628845325	0.39387093635639325	90.83556464573158	16	4	0.3333333333333335
Visvader_BIOCARTA_CCR3_PATHWAY_weka_svm_weights_r_svm_rbf	0.7333333333333333	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.2998855104823774	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	77.61742624249767	0.38215885299870234	88.13449277986767	17	3	0.3999999999999999
Visvader_BIOCARTA_CCR5_PATHWAY_weka_svm_weights_r_svm_rbf	0.7733333333333333	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.27272727272727293	0.28846957750629737	19.0	15.0	4.0	1.0	1.0	0.0	15.0	15.0	0.0	5.0	1.0	4.0	0.95	0.7894736842105263	0.21052631578947367	0.05	1.0	0.0	0.75	1.0	0.0	0.25	0.2	0.8	74.6627141781005	0.3609501431933182	83.24328362287532	16	4	0.19999999999999996
Visvader_BIOCARTA_CD40_PATHWAY_weka_svm_weights_r_svm_rbf	0.8533333333333333	0.9	0.25	0.15000000000000002	NA	0.09999999999999998	0.6923076923076923	0.23620978952838478	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	61.13665140734665	0.3139075264247184	72.39419001846179	18	2	0.6000000000000001
Visvader_BIOCARTA_CDC42RAC_PATHWAY_weka_svm_weights_r_svm_rbf	0.8	0.95	0.25	0.19999999999999996	NA	0.050000000000000044	0.857142857142857	0.22104700046830902	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	57.21216482709175	0.2965059246416672	68.38098625601575	19	1	0.8
Visvader_BIOCARTA_CDK5_PATHWAY_weka_svm_weights_r_svm_rbf	0.8533333333333333	0.9	0.25	0.15000000000000002	NA	0.09999999999999998	0.6923076923076923	0.22443525652389465	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	58.0891252179492	0.31008334596162695	71.51224733214545	18	2	0.6000000000000001
Visvader_BIOCARTA_CDMAC_PATHWAY_weka_svm_weights_r_svm_rbf	0.7866666666666666	0.9	0.25	0.15000000000000002	NA	0.09999999999999998	0.6923076923076923	0.2791404116940591	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	72.24810655610942	0.35653762042416215	82.22565586654412	18	2	0.6000000000000001
Visvader_BIOCARTA_CELL2CELL_PATHWAY_weka_svm_weights_r_svm_rbf	0.7866666666666666	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5714285714285713	0.24652406345638417	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	63.8062281887112	0.3282765888820985	75.70802148269776	17	3	0.5333333333333332
Visvader_BIOCARTA_CELLCYCLE_PATHWAY_weka_svm_weights_r_svm_rbf	0.8133333333333332	0.95	0.25	0.19999999999999996	NA	0.050000000000000044	0.857142857142857	0.26685699890750386	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	69.06887030547159	0.3427092239738213	79.03651423722837	19	1	0.8
Visvader_BIOCARTA_CERAMIDE_PATHWAY_weka_svm_weights_r_svm_rbf	0.7733333333333333	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.31349643838190566	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	81.14025464002265	0.38629061400139947	89.08737050964666	17	3	0.3999999999999999
Visvader_BIOCARTA_CFTR_PATHWAY_weka_svm_weights_r_svm_rbf	0.7466666666666667	0.75	0.25	0.0	NA	0.25	0.1666666666666668	0.326514683825499	18.0	14.0	4.0	2.0	1.0	1.0	15.0	14.0	1.0	5.0	1.0	4.0	0.9	0.7777777777777778	0.2222222222222222	0.1	0.5	0.5	0.75	0.9333333333333333	0.06666666666666667	0.25	0.2	0.8	84.5096828724821	0.4132994562774351	95.3162216690307	15	5	0.1333333333333333
Visvader_BIOCARTA_CHEMICAL_PATHWAY_weka_svm_weights_r_svm_rbf	0.12	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.4258647712156133	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	110.22382313815874	0.502705428953959	115.93526527224903	14	6	-0.06666666666666665
